EventName,Name,LapTime,Sector1,Sector2,Sector3,SpeedTrap1,SpeedTrap2,SpeedFL,FullThrottle,Brake,Cornering,Name_1,LapTime_1,Sector1_1,Sector2_1,Sector3_1,SpeedTrap1_1,SpeedTrap2_1,SpeedFL_1,FullThrottle_1,Brake_1,Cornering_1,Gap,Gap1,V_min,V_max,corner_advantage,corner_advantage1
Australian GP Qualifying Q3,Charles Leclerc,01:15.755,26.194,17.025,32.536,290 kp/h,325 kp/h,309 kp/h,69%,14%,17%,Lewis Hamilton,01:15.973,26.265,17.080,32.628,290 kp/h,324 kp/h,306 kp/h,72%,14%,14%,-0.218,0.218,95 kp/h,329 kp/h,4/15,11/15
Australian GP Qualifying Q3,Alexander Albon,01:15.737,26.215,16.978,32.544,289 kp/h,329 kp/h,309 kp/h,70%,13%,17%,Carlos Sainz,01:16.062,26.355,,32.707,289 kp/h,329 kp/h,309 kp/h,70%,15%,15%,-0.325,0.325,93 kp/h,332 kp/h,5/15,10/15
Australian GP Qualifying Q3,Lando Norris,01:15.096,25.961,16.997,32.138,288 kp/h,325 kp/h,310 kp/h,73%,11%,16%,Oscar Piastri,01:15.180,26.082,16.952,32.146,289 kp/h,325 kp/h,309 kp/h,73%,10%,17%,-0.084,0.084,94 kp/h,329 kp/h,7/15,8/15
