EventName,Name,LapTime,Sector1,Sector2,Sector3,SpeedTrap1,SpeedTrap2,SpeedFL,FullThrottle,Brake,Cornering,Name_1,LapTime_1,Sector1_1,Sector2_1,Sector3_1,SpeedTrap1_1,SpeedTrap2_1,SpeedFL_1,FullThrottle_1,Brake_1,Cornering_1,Gap,Gap1,V_min,V_max,corner_advantage,corner_advantage1
Chinese GP Qualifying Q1,Max Verstappen,01:31.424,24.256,27.505,39.663,284 kp/h,277 kp/h,269 kp/h,61%,20%,19%,Liam Lawson,01:32.174,24.522,27.622,40.030,285 kp/h,275 kp/h,270 kp/h,60%,16%,24%,-0.75,0.75,65 kp/h,336 kp/h,6/17,11/17
Chinese GP Qualifying Q1,Pierre Gasly,01:31.992,24.128,27.601,40.263,282 kp/h,276 kp/h,270 kp/h,57%,20%,23%,Jack Doohan,01:32.092,24.407,27.655,40.030,284 kp/h,278 kp/h,272 kp/h,58%,20%,22%,-0.1,0.1,65 kp/h,333 kp/h,9/17,8/17
Chinese GP Qualifying Q1,Kimi Antonelli,01:31.676,24.179,27.690,39.807,285 kp/h,277 kp/h,270 kp/h,55%,19%,26%,George Russell,01:31.295,24.187,27.368,39.740,285 kp/h,279 kp/h,271 kp/h,54%,20%,26%,0.381,-0.381,63 kp/h,334 kp/h,12/17,5/17
Chinese GP Qualifying Q1,Fernando Alonso,01:31.719,24.117,27.736,39.866,282 kp/h,276 kp/h,271 kp/h,59%,18%,23%,Lance Stroll,01:31.923,24.267,27.617,40.039,283 kp/h,277 kp/h,272 kp/h,60%,18%,22%,-0.204,0.204,62 kp/h,334 kp/h,8/17,9/17
Chinese GP Qualifying Q1,Charles Leclerc,01:31.579,24.339,27.514,39.726,286 kp/h,280 kp/h,274 kp/h,56%,20%,24%,Lewis Hamilton,01:31.690,24.186,27.430,40.074,285 kp/h,278 kp/h,264 kp/h,58%,23%,19%,-0.111,0.111,62 kp/h,336 kp/h,8/17,9/17
Chinese GP Qualifying Q1,Yuki Tsunoda,01:31.238,24.276,27.203,39.759,284 kp/h,278 kp/h,272 kp/h,58%,18%,24%,Isack Hadjar,01:31.162,24.234,27.268,39.660,284 kp/h,278 kp/h,270 kp/h,62%,17%,21%,0.076,-0.076,63 kp/h,332 kp/h,8/17,9/17
Chinese GP Qualifying Q1,Alexander Albon,01:31.503,24.237,27.477,39.789,284 kp/h,278 kp/h,273 kp/h,56%,20%,24%,Carlos Sainz,01:31.628,24.289,27.480,39.859,284 kp/h,278 kp/h,269 kp/h,56%,21%,23%,-0.125,0.125,64 kp/h,331 kp/h,9/17,8/17
Chinese GP Qualifying Q1,Nico Hulkenberg,01:31.921,24.303,27.609,40.009,285 kp/h,279 kp/h,269 kp/h,58%,20%,22%,Gabriel Bortoleto,01:32.141,24.516,27.517,40.108,285 kp/h,278 kp/h,263 kp/h,58%,19%,23%,-0.22,0.22,67 kp/h,335 kp/h,8/17,9/17
Chinese GP Qualifying Q1,Esteban Ocon,01:31.876,24.244,27.609,40.023,285 kp/h,279 kp/h,272 kp/h,58%,21%,21%,Ollie Bearman,01:32.018,24.427,27.599,39.992,286 kp/h,277 kp/h,270 kp/h,58%,21%,21%,-0.142,0.142,62 kp/h,331 kp/h,8/17,9/17
Chinese GP Qualifying Q1,Lando Norris,01:30.983,23.966,27.348,39.669,283 kp/h,277 kp/h,274 kp/h,59%,17%,24%,Oscar Piastri,01:31.591,24.176,27.442,39.973,282 kp/h,276 kp/h,268 kp/h,59%,19%,22%,-0.608,0.608,61 kp/h,332 kp/h,5/17,12/17
