EventName,driver_1_name,driver_1_position,driver_1_gap,total_time_driver_1,avg_laptime_driver_1,iqr_driver_1,number_pit_driver_1,total_duration_pit_driver_1,driver_2_name,driver_2_position,driver_2_gap,total_time_driver_2,avg_laptime_driver_2,iqr_driver_2,number_pit_driver_2,total_duration_pit_driver_2,fastest_driver_1,fastest_driver_2,safety_car_lap,fastest_lap
Miami GP Race ,Max Verstappen,4,-29.478 s,1:27:55.874,1:32.096,2.002 s,1,00:22.501 s,Yuki Tsunoda,10,+29.478 s,1:28:19.814,1:32.673,1.872 s,1,00:22.560 s,45/57,12/57,0/57,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
Miami GP Race ,Pierre Gasly,13,-56 laps,1:28:36.558,1:32.874,2.125 s,1,00:22.060 s,Jack Doohan,DNF,+56 laps,0,0,0,0,0:00:00,56/56,0/56,0/56,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Miami GP Race ,Kimi Antonelli,6,+17.858 s,1:28:10.239,1:32.500,1.814 s,1,00:24.383 s,George Russell,3,-17.858 s,1:27:51.053,1:32.260,1.977 s,1,00:24.257 s,21/57,36/57,0/57,"[0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]"
Miami GP Race ,Fernando Alonso,15,-4.183 s,1:27:27.653,1:33.165,1.16 s,1,00:23.602 s,Lance Stroll,16,+4.183 s,1:27:33.015,1:33.011,1.569 s,1,00:22.317 s,30/56,26/56,0/56,"[1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0]"
Miami GP Race ,Charles Leclerc,7,-3.15 s,1:28:08.062,1:32.480,2.118 s,1,00:22.183 s,Lewis Hamilton,8,+3.15 s,1:28:09.256,1:32.457,2.321 s,1,00:23.104 s,35/57,22/57,0/57,"[0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
Miami GP Race ,Alexander Albon,5,-12.51 s,1:28:00.872,1:32.390,1.96 s,1,00:21.906 s,Carlos Sainz,9,+12.51 s,1:28:12.433,1:32.521,2.071 s,1,00:22.415 s,43/57,14/57,0/57,"[0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Miami GP Race ,Nico Hulkenberg,14,-25 laps,1:27:09.436,1:33.269,2.221 s,1,00:22.108 s,Gabriel Bortoleto,17,+25 laps,0:47:20.375,1:33.554,4.242 s,1,00:22.188 s,38/55,17/55,0/55,"[1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Miami GP Race ,Liam Lawson,17,+21 laps,0:57:10.547,1:34.440,0.639 s,1,00:22.439 s,Isack Hadjar,11,-21 laps,1:28:24.064,1:31.902,1.883 s,1,00:22.115 s,6/57,51/57,0/57,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Miami GP Race ,Esteban Ocon,12,-29 laps,1:28:32.038,1:32.099,1.764 s,1,00:23.162 s,Ollie Bearman,13,+29 laps,0:41:26.123,1:33.626,0.427 s,0,0:00:00,49/56,7/56,0/56,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Miami GP Race ,Lando Norris,2,+04.630 s,1:27:16.940,1:31.478,2.216 s,1,00:22.044 s,Oscar Piastri,1,-04.630 s,1:27:14.452,1:31.465,1.74 s,1,00:22.106 s,28/57,29/57,0/57,"[1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1]"
