EventName,Name,LapTime,Sector1,Sector2,Sector3,SpeedTrap1,SpeedTrap2,SpeedFL,FullThrottle,Brake,Cornering,Name_1,LapTime_1,Sector1_1,Sector2_1,Sector3_1,SpeedTrap1_1,SpeedTrap2_1,SpeedFL_1,FullThrottle_1,Brake_1,Cornering_1,Gap,Gap1,V_min,V_max,corner_advantage,corner_advantage1
Chinese GP Qualifying Q3,Kimi Antonelli,01:31.103,24.176,27.301,39.626,285 kp/h,280 kp/h,271 kp/h,57%,19%,24%,George Russell,01:30.723,24.068,27.221,39.434,286 kp/h,280 kp/h,272 kp/h,59%,19%,22%,0.38,-0.38,65 kp/h,336 kp/h,8/17,9/17
Chinese GP Qualifying Q3,Charles Leclerc,01:31.021,24.094,27.355,39.572,286 kp/h,281 kp/h,272 kp/h,58%,19%,23%,Lewis Hamilton,01:30.927,24.148,27.175,39.604,287 kp/h,281 kp/h,270 kp/h,60%,24%,16%,0.094,-0.094,67 kp/h,334 kp/h,7/17,10/17
Chinese GP Qualifying Q3,Yuki Tsunoda,01:31.638,24.280,27.527,39.831,285 kp/h,278 kp/h,272 kp/h,56%,15%,29%,Isack Hadjar,01:31.079,24.160,27.213,39.706,284 kp/h,277 kp/h,270 kp/h,60%,18%,22%,0.559,-0.559,67 kp/h,334 kp/h,11/17,6/17
Chinese GP Qualifying Q3,Lando Norris,01:30.793,24.030,27.328,39.435,283 kp/h,278 kp/h,272 kp/h,58%,18%,24%,Oscar Piastri,01:30.641,23.996,27.227,39.418,284 kp/h,278 kp/h,272 kp/h,59%,16%,25%,0.152,-0.152,65 kp/h,330 kp/h,9/17,8/17
