EventName,driver_1_name,driver_1_position,driver_1_gap,total_time_driver_1,avg_laptime_driver_1,iqr_driver_1,number_pit_driver_1,total_duration_pit_driver_1,driver_2_name,driver_2_position,driver_2_gap,total_time_driver_2,avg_laptime_driver_2,iqr_driver_2,number_pit_driver_2,total_duration_pit_driver_2,fastest_driver_1,fastest_driver_2,safety_car_lap,fastest_lap
Australian GP Race ,Max Verstappen,2,-10 laps,1:23:23.983,1:30.686,3.401 s,5,01:17.515 s,Liam Lawson,9,+10 laps,1:03:10.943,1:33.497,3.566 s,4,01:10.046 s,33/57,4/57,20/57,"[2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 0, 1, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0]"
Australian GP Race ,Pierre Gasly,11,-56 laps,1:23:43.397,1:32.438,3.568 s,5,01:24.629 s,Jack Doohan,DNF,+56 laps,0,0,0,0,0:00:00,36/57,0/57,21/57,"[2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0]"
Australian GP Race ,Kimi Antonelli,4,+01.687 s,1:23:22.519,1:31.642,4.707 s,0,0:00:00,George Russell,3,-01.687 s,1:23:29.333,1:31.152,2.404 s,5,01:19.975 s,8/57,28/57,21/57,"[2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 0, 1, 0, 0, 2, 2, 2, 2, 2, 1, 1, 1, 1, 0, 0]"
Australian GP Race ,Fernando Alonso,10,+24 laps,0:36:54.204,1:32.521,1.939 s,3,00:46.810 s,Lance Stroll,6,-24 laps,1:23:31.209,1:32.554,3.682 s,5,01:23.673 s,20/56,16/56,20/56,"[2, 2, 2, 2, 2, 2, 2, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1]"
Australian GP Race ,Charles Leclerc,8,-2.62 s,1:23:39.633,1:31.756,3.242 s,5,01:25.614 s,Lewis Hamilton,10,+2.62 s,1:23:40.072,1:32.418,2.562 s,5,01:25.310 s,32/57,4/57,21/57,"[2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 1, 1, 0, 0, 2, 2, 2, 2, 2, 0, 0, 0, 1, 0, 0]"
Australian GP Race ,Yuki Tsunoda,12,-56 laps,1:23:48.498,1:32.398,3.198 s,5,01:22.094 s,Isack Hadjar,DNF,+56 laps,0,0,0,0,0:00:00,36/57,0/57,21/57,"[2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0]"
Australian GP Race ,Alexander Albon,5,-56 laps,1:23:31.072,1:32.356,3.567 s,5,01:23.823 s,Carlos Sainz,DNF,+56 laps,0,0,0,0,0:00:00,36/57,0/57,21/57,"[2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0]"
Australian GP Race ,Nico Hulkenberg,7,-11 laps,1:23:31.504,1:33.202,4.096 s,5,01:26.631 s,Gabriel Bortoleto,13,+11 laps,1:01:58.959,1:33.339,3.064 s,5,01:35.288 s,22/56,13/56,21/56,"[2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 0, 1, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0]"
Australian GP Race ,Esteban Ocon,13,-7.191 s,1:23:41.462,1:33.703,3.957 s,5,01:29.157 s,Ollie Bearman,14,+7.191 s,1:25:26.645,1:33.818,4.43 s,5,01:35.257 s,18/57,17/57,22/57,"[2, 2, 2, 2, 2, 2, 2, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1]"
Australian GP Race ,Lando Norris,1,-20.471 s,1:23:24.035,1:30.186,2.392 s,5,01:15.550 s,Oscar Piastri,9,+20.471 s,1:23:42.496,1:30.186,2.748 s,5,01:19.301 s,21/56,15/56,20/56,"[2, 2, 2, 2, 2, 2, 2, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0]"
