EventName,Name,LapTime,Sector1,Sector2,Sector3,SpeedTrap1,SpeedTrap2,SpeedFL,FullThrottle,Brake,Cornering,Name_1,LapTime_1,Sector1_1,Sector2_1,Sector3_1,SpeedTrap1_1,SpeedTrap2_1,SpeedFL_1,FullThrottle_1,Brake_1,Cornering_1,Gap,Gap1,V_min,V_max,corner_advantage,corner_advantage1
Japanese GP Qualifying Q3,Kimi Antonelli,01:27.555,30.669,39.503,17.383,287 kp/h,301 kp/h,271 kp/h,69%,10%,21%,George Russell,01:27.318,30.376,39.599,17.343,288 kp/h,303 kp/h,272 kp/h,67%,13%,20%,0.237,-0.237,72 kp/h,326 kp/h,9/19,10/19
Japanese GP Qualifying Q3,Charles Leclerc,01:27.299,30.535,39.352,17.412,288 kp/h,299 kp/h,271 kp/h,67%,16%,17%,Lewis Hamilton,01:27.668,30.594,39.633,17.441,288 kp/h,299 kp/h,272 kp/h,70%,15%,15%,-0.369,0.369,74 kp/h,326 kp/h,7/19,12/19
Japanese GP Qualifying Q3,Lando Norris,01:26.995,30.358,39.301,17.336,287 kp/h,300 kp/h,267 kp/h,69%,11%,20%,Oscar Piastri,01:27.027,30.625,39.197,17.205,287 kp/h,299 kp/h,271 kp/h,70%,12%,18%,-0.032,0.032,73 kp/h,320 kp/h,7/19,12/19
