EventName,Name,LapTime,Sector1,Sector2,Sector3,SpeedTrap1,SpeedTrap2,SpeedFL,FullThrottle,Brake,Cornering,Name_1,LapTime_1,Sector1_1,Sector2_1,Sector3_1,SpeedTrap1_1,SpeedTrap2_1,SpeedFL_1,FullThrottle_1,Brake_1,Cornering_1,Gap,Gap1,V_min,V_max,corner_advantage,corner_advantage1
Saudi GP Qualifying Q1,Max Verstappen,01:27.778,31.874,27.813,28.091,295 kp/h,330 kp/h,310 kp/h,78%,14%,8%,Yuki Tsunoda,01:28.226,32.028,27.891,28.307,294 kp/h,326 kp/h,312 kp/h,75%,12%,13%,-0.448,0.448,87 kp/h,336 kp/h,9/28,19/28
Saudi GP Qualifying Q1,Pierre Gasly,01:28.421,32.136,28.027,28.258,294 kp/h,327 kp/h,311 kp/h,72%,12%,16%,Jack Doohan,01:28.739,32.223,28.123,28.393,297 kp/h,325 kp/h,310 kp/h,68%,17%,15%,-0.318,0.318,89 kp/h,336 kp/h,9/28,19/28
Saudi GP Qualifying Q1,Kimi Antonelli,01:28.128,32.232,27.743,28.153,295 kp/h,327 kp/h,310 kp/h,73%,13%,14%,George Russell,01:28.282,32.295,27.724,28.263,294 kp/h,328 kp/h,306 kp/h,73%,13%,14%,-0.154,0.154,88 kp/h,333 kp/h,16/28,12/28
Saudi GP Qualifying Q1,Fernando Alonso,01:28.548,32.093,27.928,28.527,295 kp/h,323 kp/h,303 kp/h,75%,11%,14%,Lance Stroll,01:28.645,32.072,28.054,28.519,293 kp/h,324 kp/h,305 kp/h,77%,14%,9%,-0.097,0.097,91 kp/h,335 kp/h,11/28,17/28
Saudi GP Qualifying Q1,Charles Leclerc,01:28.552,32.353,27.978,28.221,296 kp/h,330 kp/h,307 kp/h,72%,15%,13%,Lewis Hamilton,01:28.372,32.236,27.889,28.247,295 kp/h,328 kp/h,309 kp/h,75%,14%,11%,0.18,-0.18,79 kp/h,335 kp/h,16/28,12/28
Saudi GP Qualifying Q1,Alexander Albon,01:28.279,31.964,28.006,28.309,297 kp/h,324 kp/h,306 kp/h,74%,12%,14%,Carlos Sainz,01:28.354,32.096,27.952,28.306,297 kp/h,325 kp/h,309 kp/h,75%,14%,11%,-0.075,0.075,86 kp/h,332 kp/h,10/28,18/28
Saudi GP Qualifying Q1,Nico Hulkenberg,01:28.782,32.477,27.982,28.323,298 kp/h,334 kp/h,313 kp/h,72%,13%,15%,Gabriel Bortoleto,01:29.462,32.653,28.264,28.545,295 kp/h,330 kp/h,311 kp/h,71%,15%,14%,-0.68,0.68,83 kp/h,339 kp/h,6/28,22/28
Saudi GP Qualifying Q1,Liam Lawson,01:28.561,32.295,28.003,28.263,295 kp/h,325 kp/h,310 kp/h,76%,10%,14%,Isack Hadjar,01:28.571,32.225,27.994,28.352,296 kp/h,325 kp/h,311 kp/h,76%,12%,12%,-0.01,0.01,92 kp/h,331 kp/h,16/28,12/28
Saudi GP Qualifying Q1,Esteban Ocon,01:29.092,32.718,28.042,28.332,293 kp/h,325 kp/h,308 kp/h,71%,17%,12%,Oliver Bearman,01:28.536,32.497,27.817,28.222,292 kp/h,327 kp/h,309 kp/h,73%,16%,11%,0.556,-0.556,71 kp/h,335 kp/h,12/28,16/28
Saudi GP Qualifying Q1,Lando Norris,01:27.805,31.801,27.831,28.173,296 kp/h,327 kp/h,309 kp/h,73%,11%,16%,Oscar Piastri,01:27.901,31.901,27.710,28.290,295 kp/h,325 kp/h,308 kp/h,75%,11%,14%,-0.096,0.096,89 kp/h,334 kp/h,8/28,20/28
