EventName,Name,LapTime,Sector1,Sector2,Sector3,SpeedTrap1,SpeedTrap2,SpeedFL,FullThrottle,Brake,Cornering,Name_1,LapTime_1,Sector1_1,Sector2_1,Sector3_1,SpeedTrap1_1,SpeedTrap2_1,SpeedFL_1,FullThrottle_1,Brake_1,Cornering_1,Gap,Gap1,V_min,V_max,corner_advantage,corner_advantage1
Japanese GP Qualifying Q2,Kimi Antonelli,01:27.639,30.750,39.594,17.295,287 kp/h,303 kp/h,269 kp/h,67%,11%,22%,George Russell,01:27.400,30.458,39.573,17.369,288 kp/h,306 kp/h,272 kp/h,68%,13%,19%,0.239,-0.239,74 kp/h,326 kp/h,11/19,8/19
Japanese GP Qualifying Q2,Charles Leclerc,01:27.555,30.552,39.604,17.399,289 kp/h,299 kp/h,270 kp/h,66%,13%,21%,Lewis Hamilton,01:27.610,30.699,39.454,17.457,289 kp/h,298 kp/h,268 kp/h,69%,14%,17%,-0.055,0.055,72 kp/h,323 kp/h,5/19,14/19
Japanese GP Qualifying Q2,Alexander Albon,01:27.783,30.714,39.651,17.418,288 kp/h,305 kp/h,273 kp/h,66%,15%,19%,Carlos Sainz,01:27.836,30.760,39.579,17.497,287 kp/h,303 kp/h,270 kp/h,67%,17%,16%,-0.053,0.053,70 kp/h,324 kp/h,10/19,9/19
Japanese GP Qualifying Q2,Liam Lawson,01:27.906,30.879,39.634,17.393,287 kp/h,302 kp/h,271 kp/h,66%,12%,22%,Isack Hadjar,01:27.775,30.783,39.591,17.401,287 kp/h,301 kp/h,269 kp/h,67%,13%,20%,0.131,-0.131,74 kp/h,324 kp/h,9/19,10/19
Japanese GP Qualifying Q2,Lando Norris,01:27.146,30.451,39.388,17.307,285 kp/h,302 kp/h,272 kp/h,68%,11%,21%,Oscar Piastri,01:27.507,30.658,39.426,17.423,286 kp/h,302 kp/h,269 kp/h,69%,11%,20%,-0.361,0.361,74 kp/h,319 kp/h,5/19,14/19
