Q1_Red Bull Racing,Q2_Red Bull Racing,Q3_Red Bull Racing,Q1_Alpine,Q1_Mercedes,Q2_Mercedes,Q3_Mercedes,Q1_Aston Martin,Q1_Ferrari,Q2_Ferrari,Q3_Ferrari,Q1_Williams,Q2_Williams,Q1_Kick Sauber,Q1_Racing Bulls,Q2_Racing Bulls,Q1_Haas F1 Team,Q1_McLaren,Q2_McLaren
78.46162840986598,78.45109487022935,78.46673533208907,78.47683589765816,78.47615141588479,78.53998854059311,78.45108203743284,78.53729957338139,78.40037452776237,78.32004406506772,78.44906473428297,78.48764401647601,78.6019800153238,78.4445926401262,78.47790713482804,78.34894998385718,78.3606668003013,78.71471867084522,78.40340406222286
8.72202972698203,8.720858787151911,8.72259742775941,8.72372023689475,8.723644147849768,8.730740473922452,8.720857360619789,8.730441560269625,8.715220561898036,8.70629078695194,8.72063311115673,8.724921699769453,8.737631632013077,8.720135979769495,8.723839318828553,8.709504055502151,8.710806531927915,8.750163998786064,8.71555733402677
23.492196661287977,23.489042814118363,23.49372572490327,23.496749935304564,23.496544994612435,23.51565846852742,23.48903897185069,23.514853364837464,23.47385663605769,23.44980489171131,23.488434971101753,23.499985994228567,23.534219336370867,23.48709598136182,23.497070674432408,23.458459613039935,23.461967745126003,23.56797441793765,23.474763708989784
47.77790535373302,47.77149112973592,47.78101512919356,47.78716570082405,47.786748897017574,47.82562145375876,47.77148331541764,47.82398405183956,47.74060581966769,47.69168991871804,47.770254912172405,47.793747125252736,47.86337013260275,47.76753170471821,47.787818012905134,47.70929169783062,47.71642645858513,47.932020464266444,47.74245060435611
18.264713001650847,18.262260948561277,18.265901818026663,18.268253081121912,18.268093743833106,18.28295408748491,18.262257961274997,18.28232813547004,18.250453998880545,18.231754248746057,18.26178836277424,18.270769052206077,18.297384790969545,18.260747325034572,18.268502449378246,18.238483121463076,18.24121062398862,18.323628691701913,18.25115922994152
25.04101984159891,25.03765806361406,25.042649715249382,25.045873309609476,25.045654857328856,25.066028468466527,25.037653968028508,25.065170284884715,25.021470672046632,24.995833213954228,25.037010145956174,25.04932271950898,25.085813040622384,25.035582877611347,25.046215194831206,25.005058534669786,25.00879795531401,25.121793569793653,25.02243754762739
18.94927080215834,18.946726846608016,18.950504175134796,18.95294356310194,18.952778253883338,18.96819556025133,18.946723747358874,18.967546147679826,18.93447737480807,18.91507676176812,18.946236548399924,18.955553832280543,18.98316712362447,18.945156492773407,18.953202277630766,18.922057831292534,18.924887560068726,19.01039464052215,18.935209037788553
14.039024000648567,14.037139249863174,14.03993777474571,14.041745054116745,14.041622580797764,14.05304486381786,14.037136953709705,14.052563730861664,14.02806393343593,14.013690521659896,14.036776000618232,14.043678934952027,14.064136907396573,14.035975815375195,14.041936729011127,14.018862615279033,14.020959088046737,14.08430906954436,14.028606003590028
24.6432991100003,24.639990726358377,24.64490309674423,24.64807549150001,24.647860508846463,24.66791053062647,24.639986695822074,24.667065977376183,24.624060435390533,24.598830171120653,24.63935309942687,24.65147011521921,24.68738086899461,24.63794850005536,24.648411946637793,24.607908968199126,24.611588996489388,24.72278992773559,24.625011954309883
17.176243158739055,17.173937233641766,17.17736112862667,17.179572270222536,17.179422428502278,17.193397182770866,17.173934424380263,17.192808533827304,17.162833908959897,17.1452485543316,17.173492811197775,17.181938304176526,17.206967900908182,17.17251381320574,17.17980677759232,17.15157642567351,17.15414138503479,17.231647818976,17.163497112383084
16.62339031434516,16.621158610207488,16.624472300064042,16.62661227150295,16.626467252747773,16.639992200701045,16.621155891367835,16.639422498638908,16.610412668951938,16.59339333526532,16.620728492417243,16.62890214976977,16.653126117259944,16.619781005496577,16.626839230769008,16.599517531004892,16.601999931854095,16.677011661216,16.61105452580381
10.610651208573415,10.609226719720198,10.61134183622869,10.612707772424983,10.612615207466717,10.621248133881409,10.609224984294428,10.620884495071323,10.602367623445957,10.591504242984058,10.608952177056892,10.614169393618909,10.629631466340925,10.608347399508546,10.612852639721268,10.595413295451579,10.596997803128545,10.644877524518677,10.60277731840307
88.99998490842574,88.98803658556153,89.0057777527752,89.01723494785813,89.01645853180952,89.08886976327108,88.98802202916352,89.08581963486927,88.93050388065086,88.83938405415222,88.98573377752336,89.02949472924644,89.15918745138555,88.98066102641525,89.01845006528413,88.87217239143462,88.88546291965628,89.28706828744964,88.93394031864904
51.9799032492179,51.97292490346746,51.98328652494689,51.98997803048513,51.98952456938474,52.0318159114496,51.972916401891155,52.030034502392255,51.93932327490546,51.88610529098827,51.971579962351484,51.99713828170405,52.07288453217649,51.968617252727654,51.99068771247329,51.90525512119768,51.91301737387454,52.147572561538254,51.94133030574761
34.206110351815084,34.2015181527172,34.208336764249566,34.21274020408987,34.212441797600604,34.24027221326452,34.20151255813471,34.239099931844464,34.17940612590013,34.14438527905776,34.20063309519776,34.21745210865356,34.267297999862194,34.19868344223579,34.21320722035745,34.15698709561411,34.162095155749796,34.31644751370533,34.18072688092616
20.145252856709135,20.142548339561586,20.146564073944717,20.149157423732447,20.14898168103275,20.16537204973855,20.142545044703468,20.164681649532668,20.129525743106683,20.10890066157475,20.142027096212416,20.15193243988881,20.181288542407913,20.14087887294187,20.14943246701273,20.116322340870397,20.11933066780324,20.210234522350277,20.130303584950923
16.24398033627108,16.241799568242243,16.245037626896533,16.247128755921153,16.246987047054176,16.26020330345233,16.241796911457072,16.259646604191857,16.231298890874484,16.214668004123098,16.24137926740144,16.249366370320786,16.273037453303004,16.24045340579221,16.247350535100054,16.22065242205997,16.2230781649331,16.296377836883437,16.2319260980737
