EventName,TeamLogo,corner_domination,delta_time,speed,delta_by_team,Name,LapTime,Sector1,Sector2,Sector3,SpeedTrap1,SpeedTrap2,SpeedFL,FullThrottle,Brake,Cornering,bar_graph,Name_1,LapTime_1,Sector1_1,Sector2_1,Sector3_1,SpeedTrap1_1,SpeedTrap2_1,SpeedFL_1,FullThrottle_1,Brake_1,Cornering_1,bar_graph_1,Gap,Gap1,V_min,V_max,corner_advantage,corner_advantage1
Saudi GP Qualiying Q2,https://lh3.googleusercontent.com/d/1RkfIlBvssK_K4V3iPVCgWWQqG—DzoYW=w300?authuser=0,https://lh3.googleusercontent.com/d/1RJvoDbnmoqdgXNnD2kGYft-p5kUf-lSe=w400?authuser=0,https://lh3.googleusercontent.com/d/1_fiB--zCAYvTQk-JSpkmrrJdcY0MdF_g=w1300?authuser=0,https://lh3.googleusercontent.com/d/1ob5TEoe3efIzmbMnoy-Tqksap7OeBjbJ=w1300?authuser=0,"[0.019, 0.073, -0.046, 0.091, 0.009, -0.011, -0.014, -0.01, 0.077, 0.02, -0.001, -0.002, 0.033, -0.059, -0.011, 0.066, 0.017, 0.014, 0.007, 0.002, 0.0, 0.128, 0.033, 0.029, 0.008, 0.01, 0.223, -0.244]",Max Verstappen,01:27.529,31.710,27.726,28.093,296 kp/h,330 kp/h,311 kp/h,76%,12%,12%,https://lh3.googleusercontent.com/d/1hBQOawqH02UrruSeBg_5DO11cghUWOEZ=w500?authuser=0,Yuki Tsunoda,01:27.990,31.919,27.841,28.230,297 kp/h,331 kp/h,312 kp/h,74%,11%,15%,https://lh3.googleusercontent.com/d/1V3lySKlCnvuS0DIOA-xGjpjj4foK26Er=w500?authuser=0,-0.4609999999999985,0.4609999999999985,89 kp/h,336 kp/h,9/28,19/28
Saudi GP Qualiying Q2,https://lh3.googleusercontent.com/d/1TJKRpVtfk6pDS39HDpxnIxQVtvkHWaJJ=w300?authuser=0,https://lh3.googleusercontent.com/d/1PqdmZK_YsBsLK6lRyDIca93wikn6Z_bf=w400?authuser=0,https://lh3.googleusercontent.com/d/1MG3qkAs70jqYSD-XD3fY-Pd7QMxIi-Yk=w1300?authuser=0,https://lh3.googleusercontent.com/d/1LZrld_uldfAyct7Ys2__4Ff3jNYFFYhJ=w1300?authuser=0,"[0.042, 0.072, -0.081, -0.081, -0.022, 0.009, -0.009, -0.009, -0.035, -0.029, -0.013, -0.003, 0.067, -0.043, -0.001, -0.041, 0.004, 0.004, 0.005, 0.0, -0.003, -0.021, 0.0, 0.006, 0.002, -0.012, 0.166, -0.173]",Kimi Antonelli,01:27.798,31.920,27.784,28.094,295 kp/h,328 kp/h,310 kp/h,75%,11%,14%,https://lh3.googleusercontent.com/d/1Dai9Qwzc8-YsFJN_fi0uGO98IWka2gOV=w500?authuser=0,George Russell,01:27.599,31.737,27.761,28.101,296 kp/h,329 kp/h,309 kp/h,73%,12%,15%,https://lh3.googleusercontent.com/d/1Ubwdc963BxD9ycAyOgZvLcp71unv7KOE=w500?authuser=0,0.19899999999999807,-0.19899999999999807,88 kp/h,334 kp/h,16/28,12/28
Saudi GP Qualiying Q2,https://lh3.googleusercontent.com/d/14wHp4Qdypc2rxIP3bYvN9mB94k9YqcgN=w300?authuser=0,https://lh3.googleusercontent.com/d/1fEFXeLxbUPDDPtPrgkylPPBaRI1izXAX=w400?authuser=0,https://lh3.googleusercontent.com/d/1-QRpH6GoVzAs0XYbTtVBtr8TqV6_tL7t=w1300?authuser=0,https://lh3.googleusercontent.com/d/1KVQCQPp3t3bZDgJD1UN2GhtDE4qiDOSG=w1300?authuser=0,"[0.014, 0.094, -0.167, -0.048, -0.009, 0.013, 0.011, 0.001, 0.024, 0.011, 0.011, 0.002, 0.044, 0.077, 0.005, -0.002, 0.019, 0.029, 0.01, 0.003, -0.002, 0.048, 0.005, -0.03, -0.012, 0.004, 0.129, -0.048]",Charles Leclerc,01:27.866,32.019,27.753,28.094,298 kp/h,328 kp/h,311 kp/h,72%,16%,12%,https://lh3.googleusercontent.com/d/11lgvQ8iUezybpVlbU9tmTRAgWIGe6yS9=w500?authuser=0,Lewis Hamilton,01:28.102,31.972,27.922,28.208,297 kp/h,329 kp/h,310 kp/h,72%,15%,13%,https://lh3.googleusercontent.com/d/1RFl2blesnQELDMEmZSVD1VxVIocdA1J5=w500?authuser=0,-0.23600000000000065,0.23600000000000065,85 kp/h,336 kp/h,8/28,20/28
Saudi GP Qualiying Q2,https://lh3.googleusercontent.com/d/16omMP-NcvKxDP2tfk-YWBWmwtruaibfG=w300?authuser=0,https://lh3.googleusercontent.com/d/19Q0DYDSXgo60353h_4EVLIkB8xnnBDHA=w400?authuser=0,https://lh3.googleusercontent.com/d/1svfsMHclCCfo0bxzKlPrcXe5fa5jE-3O=w1300?authuser=0,https://lh3.googleusercontent.com/d/1QSlXal-ZfSP-1x50nxfsE96jzW43brNG=w1300?authuser=0,"[0.012, 0.02, 0.029, -0.025, 0.051, 0.02, 0.011, -0.001, 0.004, 0.033, 0.035, 0.019, 0.068, -0.001, 0.02, 0.013, -0.022, 0.016, 0.013, -0.007, -0.006, -0.113, -0.023, -0.01, -0.032, -0.027, -0.244, 0.062]",Alexander Albon,01:28.109,31.901,27.806,28.402,297 kp/h,321 kp/h,309 kp/h,76%,13%,11%,https://lh3.googleusercontent.com/d/1akqWMy-CDInLoVvylYPDnGFaDToZoj4G=w500?authuser=0,Carlos Sainz,01:28.024,32.062,27.822,28.140,296 kp/h,326 kp/h,311 kp/h,74%,13%,13%,https://lh3.googleusercontent.com/d/14BzKGZg4Ck9tlWFAXCJFJg11N18Voks9=w500?authuser=0,0.08500000000000085,-0.08500000000000085,89 kp/h,335 kp/h,12/28,16/28
Saudi GP Qualiying Q2,https://lh3.googleusercontent.com/d/1zyLQwHg1e66Ev2Rtv6V1QTh487Dkv7yn=w300?authuser=0,https://lh3.googleusercontent.com/d/1HYLBTKWvE-vp8s6LeL2eAen2KvIrcJoo=w400?authuser=0,https://lh3.googleusercontent.com/d/18uZ8c8EARaY5vNe9UPS7rOhWD7oMLP1J=w1300?authuser=0,https://lh3.googleusercontent.com/d/1LBKZqaYnm9NbDG8QIlH8kvKoe6xw9E5P=w1300?authuser=0,"[0.022, -0.04, 0.039, 0.034, 0.038, 0.015, -0.009, 0.002, 0.018, 0.019, 0.003, -0.004, 0.032, 0.037, 0.006, -0.071, -0.018, 0.027, -0.005, -0.003, -0.001, -0.062, 0.027, 0.017, 0.004, 0.002, 0.067, 0.031]",Liam Lawson,01:28.191,32.087,27.890,28.214,296 kp/h,325 kp/h,303 kp/h,76%,11%,13%,https://lh3.googleusercontent.com/d/1zxt1Rn2pzgxGVqanUj5wgYNCU1WdYPVY=w500?authuser=0,Isack Hadjar,01:28.418,32.209,27.887,28.322,296 kp/h,324 kp/h,311 kp/h,73%,12%,15%,https://lh3.googleusercontent.com/d/1KGUugUnjWi9c3mIX8A6R250lcaQmQOjR=w500?authuser=0,-0.2270000000000003,0.2270000000000003,90 kp/h,332 kp/h,9/28,19/28
Saudi GP Qualiying Q2,https://lh3.googleusercontent.com/d/1x5wITFEujC2Fi3YAKXB4CDbfnCaqv6bR=w300?authuser=0,https://lh3.googleusercontent.com/d/1AcL_sdVIpbL9Hf-fhzYaya4ZeYTCW8M1=w400?authuser=0,https://lh3.googleusercontent.com/d/1lBvA8HquoQ5X8AZzXLyvVCkPjI8d6CgI=w1300?authuser=0,https://lh3.googleusercontent.com/d/10a0UEfOmISVuKANfawKR4F89v7jpti6M=w1300?authuser=0,"[0.065, -0.083, 0.137, 0.032, 0.021, -0.001, -0.005, -0.015, -0.043, -0.028, -0.028, -0.009, -0.154, 0.1, -0.003, -0.073, 0.018, 0.016, 0.019, 0.005, -0.001, -0.018, 0.005, 0.012, -0.003, -0.008, 0.21, -0.104]",Lando Norris,01:27.481,31.745,27.684,28.052,295 kp/h,326 kp/h,309 kp/h,74%,11%,15%,https://lh3.googleusercontent.com/d/1SMI1EaJ0Qa15V7VJWflVo-U0WSkfcDfU=w500?authuser=0,Oscar Piastri,01:27.545,31.801,27.713,28.031,297 kp/h,325 kp/h,309 kp/h,77%,10%,13%,https://lh3.googleusercontent.com/d/1h1RQTS_X0XhuGfKXlSPtRq-21LrsFWJH=w500?authuser=0,-0.06400000000000006,0.06400000000000006,84 kp/h,334 kp/h,16/28,12/28
