EventName,Name,LapTime,Sector1,Sector2,Sector3,SpeedTrap1,SpeedTrap2,SpeedFL,FullThrottle,Brake,Cornering,Name_1,LapTime_1,Sector1_1,Sector2_1,Sector3_1,SpeedTrap1_1,SpeedTrap2_1,SpeedFL_1,FullThrottle_1,Brake_1,Cornering_1,Gap,Gap1,V_min,V_max,corner_advantage,corner_advantage1
Chinese GP Qualifying Q2,Andrea Kimi Antonelli,01:31.475,24.488,27.522,39.465,282 kp/h,277 kp/h,270 kp/h,56%,18%,26%,George Russell,01:31.346,24.485,27.403,39.458,282 kp/h,278 kp/h,271 kp/h,60%,17%,23%,0.129,-0.129,65 kp/h,336 kp/h,10/17,7/17
Chinese GP Qualifying Q2,Fernando Alonso,01:31.815,24.392,27.612,39.811,280 kp/h,277 kp/h,266 kp/h,58%,21%,21%,Lance Stroll,01:31.742,24.390,27.499,39.853,280 kp/h,275 kp/h,267 kp/h,60%,17%,23%,0.073,-0.073,59 kp/h,334 kp/h,8/17,9/17
Chinese GP Qualifying Q2,Charles Leclerc,01:31.561,24.417,27.589,39.555,284 kp/h,278 kp/h,269 kp/h,56%,20%,24%,Lewis Hamilton,01:31.384,24.355,27.383,39.646,283 kp/h,277 kp/h,267 kp/h,59%,23%,18%,0.177,-0.177,61 kp/h,337 kp/h,6/17,11/17
Chinese GP Qualifying Q2,Alexander Albon,01:31.539,24.321,27.612,39.606,281 kp/h,277 kp/h,271 kp/h,56%,21%,23%,Carlos Sainz,01:32.325,24.615,27.668,40.042,281 kp/h,276 kp/h,262 kp/h,58%,21%,21%,-0.786,0.786,63 kp/h,336 kp/h,5/17,12/17
Chinese GP Qualifying Q2,Lando Norris,01:31.174,24.278,27.499,39.397,279 kp/h,275 kp/h,271 kp/h,58%,19%,23%,Oscar Piastri,01:31.362,24.323,27.566,39.473,280 kp/h,276 kp/h,269 kp/h,56%,19%,25%,-0.188,0.188,65 kp/h,332 kp/h,7/17,10/17
