EventName,Name,LapTime,Sector1,Sector2,Sector3,SpeedTrap1,SpeedTrap2,SpeedFL,FullThrottle,Brake,Cornering,Name_1,LapTime_1,Sector1_1,Sector2_1,Sector3_1,SpeedTrap1_1,SpeedTrap2_1,SpeedFL_1,FullThrottle_1,Brake_1,Cornering_1,Gap,Gap1,V_min,V_max,corner_advantage,corner_advantage1
Bahrain GP Qualifying Q3,Max Verstappen,01:30.423,28.880,38.855,22.688,243 kp/h,274 kp/h,288 kp/h,62%,17%,21%,Yuki Tsunoda,01:31.303,29.026,39.377,22.900,242 kp/h,272 kp/h,286 kp/h,61%,17%,22%,-0.88,0.88,65 kp/h,320 kp/h,4/16,12/16
Bahrain GP Qualifying Q3,Kimi Antonelli,01:30.213,28.836,38.786,22.591,244 kp/h,273 kp/h,288 kp/h,64%,20%,16%,George Russell,01:30.009,28.771,38.710,22.528,243 kp/h,274 kp/h,289 kp/h,63%,19%,18%,0.204,-0.204,67 kp/h,320 kp/h,7/16,9/16
Bahrain GP Qualifying Q3,Charles Leclerc,01:30.175,28.926,38.714,22.535,243 kp/h,271 kp/h,289 kp/h,59%,19%,22%,Lewis Hamilton,01:30.772,28.955,39.058,22.759,243 kp/h,271 kp/h,289 kp/h,62%,21%,17%,-0.597,0.597,71 kp/h,321 kp/h,7/16,9/16
Bahrain GP Qualifying Q3,Lando Norris,01:30.267,29.007,38.678,22.582,242 kp/h,274 kp/h,286 kp/h,63%,18%,19%,Oscar Piastri,01:29.841,28.784,38.574,22.483,243 kp/h,273 kp/h,286 kp/h,61%,18%,21%,0.426,-0.426,67 kp/h,319 kp/h,10/16,6/16
