EventName,Name,LapTime,Sector1,Sector2,Sector3,SpeedTrap1,SpeedTrap2,SpeedFL,FullThrottle,Brake,Cornering,Name_1,LapTime_1,Sector1_1,Sector2_1,Sector3_1,SpeedTrap1_1,SpeedTrap2_1,SpeedFL_1,FullThrottle_1,Brake_1,Cornering_1,Gap,Gap1,V_min,V_max,corner_advantage,corner_advantage1
Miami GP Sprint Quali Q2,Kimi Antonelli,01:27.384,29.056,33.309,25.019,221 kp/h,192 kp/h,286 kp/h,58%,17%,25%,George Russell,01:27.666,29.100,33.271,25.295,219 kp/h,192 kp/h,284 kp/h,57%,18%,25%,-0.282,0.282,67 kp/h,342 kp/h,11/20,9/20
Miami GP Sprint Quali Q2,Charles Leclerc,01:27.467,29.043,33.309,25.115,222 kp/h,192 kp/h,284 kp/h,62%,15%,23%,Lewis Hamilton,01:27.546,29.190,33.403,24.953,222 kp/h,190 kp/h,287 kp/h,60%,19%,21%,-0.079,0.079,65 kp/h,343 kp/h,12/20,8/20
Miami GP Sprint Quali Q2,Liam Lawson,01:28.375,29.420,33.599,25.356,219 kp/h,190 kp/h,284 kp/h,57%,18%,25%,Isack Hadjar,01:27.773,29.016,33.498,25.259,219 kp/h,190 kp/h,282 kp/h,57%,17%,26%,0.602,-0.602,62 kp/h,339 kp/h,15/20,5/20
Miami GP Sprint Quali Q2,Lando Norris,01:27.109,29.162,33.115,24.832,222 kp/h,192 kp/h,286 kp/h,57%,16%,27%,Oscar Piastri,01:27.354,28.995,33.405,24.954,224 kp/h,191 kp/h,286 kp/h,55%,18%,27%,-0.245,0.245,68 kp/h,340 kp/h,8/20,12/20
