EventName,Name,LapTime,Sector1,Sector2,Sector3,SpeedTrap1,SpeedTrap2,SpeedFL,FullThrottle,Brake,Cornering,Name_1,LapTime_1,Sector1_1,Sector2_1,Sector3_1,SpeedTrap1_1,SpeedTrap2_1,SpeedFL_1,FullThrottle_1,Brake_1,Cornering_1,Gap,Gap1,V_min,V_max,corner_advantage,corner_advantage1
Saudi GP Qualifying Q3,Max Verstappen,01:27.294,31.507,27.756,28.031,296 kp/h,329 kp/h,309 kp/h,77%,11%,12%,Yuki Tsunoda,01:28.204,32.139,27.862,28.203,295 kp/h,332 kp/h,311 kp/h,73%,11%,16%,-0.91,0.91,88 kp/h,338 kp/h,8/28,20/28
Saudi GP Qualifying Q3,Kimi Antonelli,01:27.866,32.164,27.682,28.020,294 kp/h,326 kp/h,309 kp/h,76%,11%,13%,George Russell,01:27.407,31.684,27.577,28.146,295 kp/h,327 kp/h,309 kp/h,76%,13%,11%,0.459,-0.459,83 kp/h,331 kp/h,14/28,14/28
Saudi GP Qualifying Q3,Charles Leclerc,01:27.670,31.857,27.796,28.017,295 kp/h,328 kp/h,311 kp/h,73%,13%,14%,Lewis Hamilton,01:28.201,32.137,27.833,28.231,297 kp/h,329 kp/h,309 kp/h,73%,14%,13%,-0.531,0.531,84 kp/h,334 kp/h,10/28,18/28
