EventName,Name,LapTime,Sector1,Sector2,Sector3,SpeedTrap1,SpeedTrap2,SpeedFL,FullThrottle,Brake,Cornering,Name_1,LapTime_1,Sector1_1,Sector2_1,Sector3_1,SpeedTrap1_1,SpeedTrap2_1,SpeedFL_1,FullThrottle_1,Brake_1,Cornering_1,Gap,Gap1,V_min,V_max,corner_advantage,corner_advantage1
Chinese GP Sprint Quali Q3,Kimi Antonelli,01:31.738,24.582,27.652,39.504,281 kp/h,278 kp/h,271 kp/h,56%,18%,26%,George Russell,01:31.169,24.302,27.425,39.442,282 kp/h,277 kp/h,272 kp/h,60%,20%,20%,0.569,-0.569,64 kp/h,339 kp/h,9/17,8/17
Chinese GP Sprint Quali Q3,Charles Leclerc,01:31.057,24.322,27.384,39.351,283 kp/h,279 kp/h,272 kp/h,58%,20%,22%,Lewis Hamilton,01:30.849,24.261,27.249,39.339,283 kp/h,278 kp/h,270 kp/h,60%,23%,17%,0.208,-0.208,65 kp/h,337 kp/h,7/17,10/17
Chinese GP Sprint Quali Q3,Lando Norris,01:31.393,24.293,27.440,39.660,280 kp/h,277 kp/h,271 kp/h,57%,20%,23%,Oscar Piastri,01:30.929,24.297,27.317,39.315,280 kp/h,276 kp/h,269 kp/h,60%,20%,20%,0.464,-0.464,65 kp/h,334 kp/h,11/17,6/17
