EventName,driver_1_name,driver_1_position,driver_1_gap,total_time_driver_1,avg_laptime_driver_1,iqr_driver_1,number_pit_driver_1,total_duration_pit_driver_1,driver_2_name,driver_2_position,driver_2_gap,total_time_driver_2,avg_laptime_driver_2,iqr_driver_2,number_pit_driver_2,total_duration_pit_driver_2,fastest_driver_1,fastest_driver_2,safety_car_lap,fastest_lap
Miami GP Sprint Race ,Max Verstappen,4,-3.121 s,0:26:53.706,1:41.798,5.563 s,0,0:00:00,Yuki Tsunoda,10,+3.121 s,0:28:28.401,1:44.500,10.945 s,0,0:00:00,9/16,2/16,5/16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2]"
Miami GP Sprint Race ,Pierre Gasly,12,-3.936 s,0:28:31.010,1:47.550,27.995 s,0,0:00:00,Jack Doohan,17,+3.936 s,0:28:32.534,1:47.808,22.916 s,0,0:00:00,7/17,5/17,5/17,"[0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 2, 2, 2, 2, 2]"
Miami GP Sprint Race ,Kimi Antonelli,11,+02.467 s,0:26:56.009,1:42.681,29.721 s,0,0:00:00,George Russell,6,-02.467 s,0:26:52.294,1:43.165,18.098 s,0,0:00:00,5/16,6/16,5/16,"[0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 2, 2, 2, 2, 2]"
Miami GP Sprint Race ,Fernando Alonso,4,+5 laps,0:15:30.042,1:42.657,1.288 s,0,0:00:00,Lance Stroll,7,-5 laps,0:28:29.900,1:43.696,6.989 s,0,0:00:00,10/17,2/17,5/17,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2]"
Miami GP Sprint Race ,Charles Leclerc,DNF,+18 laps,0,0,0,0,0:00:00,Lewis Hamilton,3,-18 laps,0:17:14.952,1:42.121,1.377 s,0,0:00:00,0/18,13/18,5/18,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2]"
Miami GP Sprint Race ,Alexander Albon,5,-6 laps,0:26:49.293,1:43.090,6.11 s,0,0:00:00,Carlos Sainz,16,+6 laps,0:13:51.317,1:43.395,0.981 s,0,0:00:00,10/15,0/15,5/15,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2]"
Miami GP Sprint Race ,Nico Hulkenberg,13,-3.5220000000000002 s,0:26:46.409,1:44.455,19.638 s,0,0:00:00,Gabriel Bortoleto,16,+3.5220000000000002 s,0:28:31.685,1:48.585,23.848 s,0,0:00:00,9/17,3/17,5/17,"[0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 2, 2, 2, 2]"
Miami GP Sprint Race ,Liam Lawson,8,-3.376 s,0:28:31.887,1:46.766,32.079 s,0,0:00:00,Isack Hadjar,14,+3.376 s,0:26:51.006,1:43.952,25.863 s,0,0:00:00,7/16,4/16,5/16,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2]"
Miami GP Sprint Race ,Esteban Ocon,15,+04.780 s,0:26:50.851,1:45.173,25.48 s,0,0:00:00,Ollie Bearman,9,-04.780 s,0:28:27.656,1:46.199,16.63 s,0,0:00:00,7/17,5/17,5/17,"[0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 2, 2, 2, 2, 2]"
Miami GP Sprint Race ,Lando Norris,1,-0.74 s,0:26:52.995,1:41.366,1.446 s,0,0:00:00,Oscar Piastri,2,+0.74 s,0:26:55.421,1:41.791,6.623 s,0,0:00:00,7/16,5/16,4/16,"[1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2]"
