Q1_Red Bull Racing,Q2_Red Bull Racing,Q3_Red Bull Racing,Q1_Alpine,Q2_Alpine,Q1_Mercedes,Q2_Mercedes,Q3_Mercedes,Q1_Aston Martin,Q1_Ferrari,Q2_Ferrari,Q3_Ferrari,Q1_Williams,Q1_Kick Sauber,Q1_Racing Bulls,Q1_Haas F1 Team,Q1_McLaren,Q2_McLaren,Q3_McLaren
130.79398149057667,130.73776699724615,131.176214050125,130.86350398228342,130.6221249057406,131.08806970207237,130.60575067905293,130.60995129505335,130.6441919897815,130.68127256533216,130.71635667634774,130.55167100858785,130.7472879344081,130.6322024841332,130.68824063301096,130.64521691496705,130.8491663743109,130.78018964902944,130.64602090539034
18.931008721487416,18.922872283928257,18.98633273438145,18.941071347319593,18.90613434676999,18.973574797030523,18.903764355240583,18.904372348798375,18.909328317590962,18.914695328298535,18.91977337244134,18.895936910112283,18.924250336208587,18.90759296682475,18.915703880439082,18.90947666438342,18.938996134236532,18.929012502168746,18.90959303326781
21.68666090248712,21.677340101630904,21.750038038119413,21.69818827313182,21.658165742107997,21.735423018644468,21.655450767782185,21.656147262634192,21.661824636525353,21.6679728847771,21.673790103658177,21.64648393718548,21.678918747172162,21.659836683101048,21.669128244673402,21.661994577104394,21.69581098605252,21.68437410773214,21.662127884978986
107.30931442428164,107.26319350441008,107.62291535184974,107.36635382958985,107.16831548772589,107.55059773102258,107.15488132951731,107.15832770539808,107.18642032430009,107.21684291022837,107.24562750610477,107.11051191514696,107.27100491306882,107.17658359009604,107.22255982898074,107.18726121940662,107.3545906057436,107.29799897196327,107.18792084961393
50.61332493598212,50.59157162298851,50.761237405019756,50.64022804286071,50.54682162236202,50.727128201534924,50.54048529062504,50.542110802289585,50.55536091814781,50.56970998220845,50.583286474725014,50.51955808967523,50.595255938434605,50.5507213411712,50.57240641418173,50.55575753327378,50.63467982112411,50.60798790938702,50.55606865331214
14.955897127515698,14.949469169824226,14.999604267356858,14.963846814666226,14.936245845597341,14.989525227122613,14.934373502183007,14.93485382994777,14.938769150072517,14.943009202000383,14.947020964232706,14.928189655044548,14.950557860260346,14.937398186278642,14.943805979514082,14.938886347174957,14.962207352456687,14.954320072050109,14.938978281053892
19.903362047473763,19.894807698104444,19.961527667422956,19.913941519916648,19.877210050346264,19.948114444186388,19.874718328951303,19.875357550879755,19.880568073077825,19.886210749535167,19.89154961723915,19.866488842789863,19.896256531278652,19.878743589497105,19.887271103935234,19.880724039406005,19.911759717672282,19.901263296350123,19.880846385344967
45.33228627421113,45.312802720951424,45.46476542665607,45.35638228735053,45.27272197459189,45.4342152073429,45.26704678125907,45.26850268561259,45.28037027277486,45.29322214292142,45.30538205231568,45.24830314278893,45.31610261169641,45.27621479332436,45.29563722682059,45.28072550473115,45.35141297193019,45.32750611764624,45.28100416223219
65.08874347427303,65.06076871049396,65.278958931685,65.12334087376212,65.0032202029629,65.2350944908772,64.99507167939691,64.99716208764175,65.01420173862681,65.03265463716531,65.050114008582,64.96815929583028,65.06550674071144,65.0082352419376,65.03612224908818,65.01471178573848,65.1162058597751,65.0818800572697,65.01511188615456
20.38661658527542,20.377854535913457,20.446194469128386,20.39745292779145,20.359829616465504,20.43245557222025,20.35727739596149,20.35793213822751,20.363269172142054,20.369048853041022,20.3745173486962,20.348848097500934,20.379338546823135,20.361400390016797,20.37013495289426,20.363428925339804,20.3952181512891,20.38446687637878,20.363554241843758
143.95513977408268,143.8932686913883,144.37583452554532,144.0316579739037,143.76599010213874,144.27882064310512,143.74796821715108,143.75259152058277,143.79027768885578,143.83108950126086,143.86970395467483,143.6884467740997,143.90374767386373,143.7770817379278,143.83875873149015,143.79140574724698,144.0158776426057,143.93996012701444,143.7922906392921
75.30814838797062,75.27578138333456,75.52822905211997,75.3481778301674,75.20919734263362,75.47747757588945,75.19976944175403,75.20218805925833,75.2219030590627,75.24325319653883,75.2634538159275,75.16863161873096,75.28126331866827,75.21499977910923,75.24726524868947,75.22249318727108,75.3399225672232,75.30020736470681,75.2229561063549
38.87616604692187,38.85945729662569,38.98977782235829,38.896830361141724,38.82508475822499,38.96357849520314,38.82021781290871,38.821466370703774,38.83164380332437,38.84266533960454,38.85309346259544,38.80414360043494,38.862287224500164,38.82808013772535,38.844736472794466,38.831948443960414,38.89256876422485,38.872066669290234,38.83218741569931
149.4523544134497,149.38812065984234,149.88911423455886,149.53179461361685,149.25598168335546,149.78839568318085,149.23727159668113,149.24207145019193,149.28119674009872,149.3235670331037,149.3636560565743,149.17547720840116,149.39899980320092,149.2674968754185,149.33152912821276,149.28236787565345,149.51541167883863,149.4365951012287,149.28328655906932
14.9942932235341,14.987848763423585,15.0381125721932,15.002263319821395,14.974591491114438,15.028007656159275,14.972714340855191,14.97319590175971,14.977121273639,14.981372211001485,14.985394272582994,14.966514617999906,14.988940248841573,14.975746790186122,14.982171034072621,14.977238771620137,15.000619648640054,14.992712119312841,14.977330941519767
76.41270217047702,76.8070758598941,73.73114345147974,75.92496600267657,77.61836482786237,74.34952155440794,77.73323848068003,77.70376899102052,77.46355284197966,77.20341346298267,76.95728031330214,78.11263528567099,76.74028157086309,77.54766541325228,77.15452887120227,77.45636246272227,76.02555172387656,76.5094590584714,77.45072205487202
