EventName,driver_1_name,driver_1_position,driver_1_gap,total_time_driver_1,avg_laptime_driver_1,iqr_driver_1,number_pit_driver_1,total_duration_pit_driver_1,driver_2_name,driver_2_position,driver_2_gap,total_time_driver_2,avg_laptime_driver_2,iqr_driver_2,number_pit_driver_2,total_duration_pit_driver_2,fastest_driver_1,fastest_driver_2,safety_car_lap,fastest_lap
Japanese GP Race ,Max Verstappen,1,-58.401 s,1:20:32.258,1:32.448,1.925 s,1,00:24.397 s,Yuki Tsunoda,12,+58.401 s,1:21:22.522,1:33.125,2.225 s,1,00:24.181 s,51/53,2/53,0/53,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Japanese GP Race ,Pierre Gasly,13,-19.192 s,1:21:26.678,1:33.169,2.371 s,1,00:26.041 s,Jack Doohan,15,+19.192 s,1:21:42.995,1:33.484,1.917 s,1,00:23.382 s,43/53,10/53,0/53,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Japanese GP Race ,Kimi Antonelli,6,+01.309 s,1:20:46.689,1:33.147,2.366 s,1,00:24.380 s,George Russell,5,-01.309 s,1:20:46.360,1:32.488,1.965 s,1,00:23.184 s,31/53,22/53,0/53,"[1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
Japanese GP Race ,Fernando Alonso,11,-1 laps,1:21:22.268,1:33.018,2.139 s,1,00:25.708 s,Lance Stroll,20,+1 laps,1:20:33.809,1:34.121,2.459 s,2,00:47.332 s,44/53,9/53,0/53,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Japanese GP Race ,Charles Leclerc,4,-13.085 s,1:20:45.709,1:32.503,1.879 s,1,00:23.346 s,Lewis Hamilton,7,+13.085 s,1:20:55.886,1:33.215,2.057 s,1,00:22.937 s,34/53,19/53,0/53,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1]"
Japanese GP Race ,Alexander Albon,9,-33.762 s,1:21:06.564,1:33.693,2.063 s,1,00:23.093 s,Carlos Sainz,14,+33.762 s,1:21:36.906,1:34.427,2.187 s,1,00:23.337 s,44/53,9/53,0/53,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]"
Japanese GP Race ,Nico Hulkenberg,16,-1.94 s,1:21:45.082,1:33.529,1.933 s,1,00:23.515 s,Gabriel Bortoleto,19,+1.94 s,1:21:43.990,1:34.204,2.433 s,1,00:23.419 s,22/53,31/53,0/53,"[0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]"
Japanese GP Race ,Liam Lawson,17,+45.600 s,1:21:46.254,1:34.342,1.972 s,1,00:23.662 s,Isack Hadjar,8,-45.600 s,1:21:04.193,1:33.637,2.054 s,1,00:23.333 s,4/53,49/53,0/53,"[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Japanese GP Race ,Esteban Ocon,18,+28.909 s,1:21:45.658,1:34.208,2.102 s,1,00:24.464 s,Ollie Bearman,10,-28.909 s,1:21:20.237,1:33.375,2.075 s,1,00:24.834 s,6/53,47/53,0/53,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1]"
Japanese GP Race ,Lando Norris,2,-0.706 s,1:20:32.645,1:32.238,1.926 s,1,00:23.222 s,Oscar Piastri,3,+0.706 s,1:20:32.630,1:32.386,2.045 s,1,00:23.037 s,28/53,25/53,0/53,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1]"
