EventName,Name,LapTime,Sector1,Sector2,Sector3,SpeedTrap1,SpeedTrap2,SpeedFL,FullThrottle,Brake,Cornering,Name_1,LapTime_1,Sector1_1,Sector2_1,Sector3_1,SpeedTrap1_1,SpeedTrap2_1,SpeedFL_1,FullThrottle_1,Brake_1,Cornering_1,Gap,Gap1,V_min,V_max,corner_advantage,corner_advantage1
Miami GP Qualifying Q3,Max Verstappen,01:26.204,28.246,33.079,24.879,223 kp/h,192 kp/h,282 kp/h,64%,16%,20%,Yuki Tsunoda,01:26.943,28.551,33.410,24.982,222 kp/h,191 kp/h,281 kp/h,63%,17%,20%,-0.739,0.739,66 kp/h,340 kp/h,8/20,12/20
Miami GP Qualifying Q3,Kimi Antonelli,01:26.271,28.484,32.983,24.804,222 kp/h,192 kp/h,287 kp/h,60%,14%,26%,George Russell,01:26.385,28.622,33.007,24.756,225 kp/h,193 kp/h,286 kp/h,0%,0%,100%,-0.114,0.114,0 kp/h,341 kp/h,20/20,0/20
Miami GP Qualifying Q3,Alexander Albon,01:26.682,28.633,33.261,24.788,222 kp/h,193 kp/h,287 kp/h,55%,21%,24%,Carlos Sainz,01:26.569,28.707,33.113,24.749,223 kp/h,192 kp/h,286 kp/h,41%,15%,44%,0.113,-0.113,68 kp/h,339 kp/h,6/20,14/20
Miami GP Qualifying Q3,Lando Norris,01:26.269,28.433,32.901,24.935,221 kp/h,194 kp/h,286 kp/h,58%,15%,27%,Oscar Piastri,01:26.375,28.558,33.089,24.728,218 kp/h,193 kp/h,286 kp/h,57%,17%,26%,-0.106,0.106,67 kp/h,338 kp/h,10/20,10/20
