EventName,TeamLogo,corner_domination,delta_time,speed,delta_by_team,Name,LapTime,Sector1,Sector2,Sector3,SpeedTrap1,SpeedTrap2,SpeedFL,FullThrottle,Brake,Cornering,bar_graph,Name_1,LapTime_1,Sector1_1,Sector2_1,Sector3_1,SpeedTrap1_1,SpeedTrap2_1,SpeedFL_1,FullThrottle_1,Brake_1,Cornering_1,bar_graph_1,Gap,Gap1,V_min,V_max,corner_advantage,corner_advantage1
Saudi GP Qualiying Q3,https://lh3.googleusercontent.com/d/1RkfIlBvssK_K4V3iPVCgWWQqG—DzoYW=w300?authuser=0,https://lh3.googleusercontent.com/d/1515s1broQky_r-B0VRgHYdYtzBIo8Z6W=w400?authuser=0,https://lh3.googleusercontent.com/d/1Inij8OrkaW-dzf-PtYqgqIZooQ-9eLvS=w1300?authuser=0,https://lh3.googleusercontent.com/d/1gyaa5PGGDb2InUcvrNH5Qlxl5lIgA9Tx=w1300?authuser=0,"[0.249, 0.106, -0.079, 0.056, 0.095, 0.065, 0.017, 0.007, 0.086, 0.035, 0.01, 0.006, 0.104, -0.015, 0.004, 0.048, -0.015, 0.0, -0.008, -0.014, -0.017, 0.039, 0.043, 0.016, -0.018, -0.008, 0.043, 0.055]",Max Verstappen,01:27.294,31.507,27.756,28.031,296 kp/h,329 kp/h,309 kp/h,77%,11%,12%,https://lh3.googleusercontent.com/d/1eqzFhB2ArHLcnhjpuE8IpQhWe7p7wThH=w500?authuser=0,Yuki Tsunoda,01:28.204,32.139,27.862,28.203,295 kp/h,332 kp/h,311 kp/h,73%,11%,16%,https://lh3.googleusercontent.com/d/1Un2f9K5uUgsieCbx9B1QuEP7zvPDN8Xv=w500?authuser=0,-0.9100000000000001,0.9100000000000001,88 kp/h,338 kp/h,8/28,20/28
Saudi GP Qualiying Q3,https://lh3.googleusercontent.com/d/1TJKRpVtfk6pDS39HDpxnIxQVtvkHWaJJ=w300?authuser=0,https://lh3.googleusercontent.com/d/1oHgaHDC3uAbMN7uwke0niRnaPkWfXcs4=w400?authuser=0,https://lh3.googleusercontent.com/d/15d516Tmct0lnLASh9ZBO3upTZYHXsOO-=w1300?authuser=0,https://lh3.googleusercontent.com/d/1L5EggwTCrKf0SJC0PG3vzMTs9mIL0EZq=w1300?authuser=0,"[-0.217, -0.171, -0.087, -0.128, 0.035, 0.016, -0.002, -0.008, -0.072, -0.043, -0.003, 0.003, -0.072, 0.068, 0.004, -0.097, -0.003, 0.033, 0.015, 0.014, 0.008, -0.102, 0.123, 0.051, 0.046, 0.031, -0.013, 0.112]",Kimi Antonelli,01:27.866,32.164,27.682,28.020,294 kp/h,326 kp/h,309 kp/h,76%,11%,13%,https://lh3.googleusercontent.com/d/1VeNiKK-KCJh-aLja3eISYQcBS5PYl2Mi=w500?authuser=0,George Russell,01:27.407,31.684,27.577,28.146,295 kp/h,327 kp/h,309 kp/h,76%,13%,11%,https://lh3.googleusercontent.com/d/1tSITOykb8Hi6HjGc9p-odC1KfhStuo37=w500?authuser=0,0.45899999999999963,-0.45899999999999963,83 kp/h,331 kp/h,14/28,14/28
Saudi GP Qualiying Q3,https://lh3.googleusercontent.com/d/14wHp4Qdypc2rxIP3bYvN9mB94k9YqcgN=w300?authuser=0,https://lh3.googleusercontent.com/d/1GIUUcRTRBAaNZuwngMKUOBGnH27XOs5n=w400?authuser=0,https://lh3.googleusercontent.com/d/1mbAi251hLstva0C79EYz-a-HQ1xWYXBe=w1300?authuser=0,https://lh3.googleusercontent.com/d/1Zk3cKkXk0EM_OIOv-8f795dLm7rAnvX8=w1300?authuser=0,"[0.05, 0.022, -0.111, 0.079, 0.043, 0.06, 0.024, 0.03, 0.041, 0.017, -0.006, -0.001, 0.172, -0.054, -0.002, 0.075, -0.066, -0.037, -0.002, -0.006, 0.001, 0.041, 0.004, 0.052, 0.001, 0.008, 0.146, -0.05]",Charles Leclerc,01:27.670,31.857,27.796,28.017,295 kp/h,328 kp/h,311 kp/h,73%,13%,14%,https://lh3.googleusercontent.com/d/1EPbt4E4kI_Q-r5YXrZuRW1xIbtDKJ3yi=w500?authuser=0,Lewis Hamilton,01:28.201,32.137,27.833,28.231,297 kp/h,329 kp/h,309 kp/h,73%,14%,13%,https://lh3.googleusercontent.com/d/12taPbWhfa2n8V4DvuEfDUdgvAQw7ls9Y=w500?authuser=0,-0.5309999999999988,0.5309999999999988,84 kp/h,334 kp/h,10/28,18/28
