EventName,driver_1_name,driver_1_position,driver_1_gap,total_time_driver_1,avg_laptime_driver_1,iqr_driver_1,number_pit_driver_1,total_duration_pit_driver_1,driver_2_name,driver_2_position,driver_2_gap,total_time_driver_2,avg_laptime_driver_2,iqr_driver_2,number_pit_driver_2,total_duration_pit_driver_2,fastest_driver_1,fastest_driver_2,safety_car_lap,fastest_lap
Chinese GP Race ,Max Verstappen,4,-64.491 s,1:29:29.433,1:37.226,1.812 s,1,00:22.454 s,Liam Lawson,16,+64.491 s,1:30:27.245,1:37.743,2.701 s,2,00:44.891 s,44/56,12/56,0/56,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Chinese GP Race ,Pierre Gasly,11,-11.206 s,1:30:16.181,1:38.121,1.78 s,1,00:23.138 s,Jack Doohan,14,+11.206 s,1:30:25.523,1:38.327,1.456 s,1,00:22.793 s,34/56,22/56,0/56,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]"
Chinese GP Race ,Kimi Antonelli,8,+42.651 s,1:30:05.766,1:37.859,1.697 s,1,00:22.675 s,George Russell,3,-42.651 s,1:29:25.841,1:37.078,1.438 s,1,00:22.324 s,5/56,51/56,0/56,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]"
Chinese GP Race ,Fernando Alonso,12,+52 laps,0:03:18.847,1:39.591,3.372 s,0,0:00:00,Lance Stroll,12,-52 laps,1:30:18.584,1:38.596,2.184 s,1,00:22.995 s,2/56,54/56,0/56,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Chinese GP Race ,Charles Leclerc,5,-2.17 s,1:29:36.474,1:37.198,1.235 s,1,00:22.151 s,Lewis Hamilton,6,+2.17 s,1:29:39.615,1:37.428,2.455 s,2,00:44.752 s,23/56,33/56,0/56,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Chinese GP Race ,Yuki Tsunoda,19,+1 laps,1:29:34.881,1:37.913,1.84 s,3,01:23.204 s,Isack Hadjar,15,-1 laps,1:30:29.705,1:38.018,1.772 s,2,00:45.130 s,32/56,24/56,0/56,"[0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1]"
Chinese GP Race ,Alexander Albon,9,-20.066 s,1:30:06.074,1:37.798,2.005 s,1,00:23.362 s,Carlos Sainz,13,+20.066 s,1:30:24.101,1:38.113,1.608 s,1,00:22.721 s,44/56,12/56,0/56,"[0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Chinese GP Race ,Nico Hulkenberg,18,+09.470 s,1:29:25.357,1:38.736,2.114 s,1,00:22.959 s,Gabriel Bortoleto,17,-09.470 s,1:29:02.125,1:38.590,1.973 s,2,00:46.175 s,10/55,45/55,0/55,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1]"
Chinese GP Race ,Esteban Ocon,7,-11.334 s,1:30:00.164,1:37.856,1.531 s,1,00:23.114 s,Ollie Bearman,10,+11.334 s,1:30:08.642,1:37.965,2.397 s,1,00:22.808 s,35/56,21/56,0/56,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Chinese GP Race ,Lando Norris,2,+09.748 s,1:29:25.506,1:37.051,1.625 s,1,00:22.213 s,Oscar Piastri,1,-09.748 s,1:29:16.682,1:36.912,1.273 s,1,00:23.938 s,25/56,31/56,0/56,"[1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1]"
