EventName,Name,LapTime,Sector1,Sector2,Sector3,SpeedTrap1,SpeedTrap2,SpeedFL,FullThrottle,Brake,Cornering,Name_1,LapTime_1,Sector1_1,Sector2_1,Sector3_1,SpeedTrap1_1,SpeedTrap2_1,SpeedFL_1,FullThrottle_1,Brake_1,Cornering_1,Gap,Gap1,V_min,V_max,corner_advantage,corner_advantage1
Miami GP Sprint Quali Q3,Kimi Antonelli,01:26.482,28.668,32.978,24.836,224 kp/h,193 kp/h,286 kp/h,59%,14%,27%,George Russell,01:26.791,28.678,33.266,24.847,220 kp/h,193 kp/h,283 kp/h,59%,16%,25%,-0.309,0.309,70 kp/h,341 kp/h,8/20,12/20
Miami GP Sprint Quali Q3,Charles Leclerc,01:26.808,28.756,33.107,24.945,224 kp/h,192 kp/h,285 kp/h,58%,18%,24%,Lewis Hamilton,01:27.030,28.912,33.178,24.940,223 kp/h,194 kp/h,285 kp/h,62%,20%,18%,-0.222,0.222,69 kp/h,340 kp/h,9/20,11/20
Miami GP Sprint Quali Q3,Lando Norris,01:26.582,28.740,32.990,24.852,222 kp/h,191 kp/h,285 kp/h,59%,15%,26%,Oscar Piastri,01:26.527,28.648,32.936,24.943,221 kp/h,193 kp/h,286 kp/h,59%,17%,24%,0.055,-0.055,65 kp/h,340 kp/h,11/20,9/20
