,Driver,Stint,Compound,LapCount,FirstLap,LastLap,race_number,fastest_laptime,number_quick_laptime,avg_quick_laptime,fp_session,SpeedTotal,high_engine_mode,low_engine_mode,quali_sim,race_sim,year,event_format,q1,q2,q3
0,VER,1.0,MEDIUM,3,1.0,3.0,1.0,0 days 00:01:35.429000,1.0,0 days 00:01:35.429000,fp1,748.0,0,1,1,0,2023,conventional,0 days 00:01:31.295000,0 days 00:01:30.503000,0 days 00:01:29.708000
1,VER,3.0,SOFT,3,6.0,8.0,1.0,0 days 00:01:33.375000,1.0,0 days 00:01:33.375000,fp1,833.0,0,0,1,0,2023,conventional,0 days 00:01:31.295000,0 days 00:01:30.503000,0 days 00:01:29.708000
2,VER,4.0,SOFT,13,9.0,21.0,1.0,0 days 00:01:37.900000,10.0,0 days 00:01:38.517500,fp1,1034.0,1,0,0,1,2023,conventional,0 days 00:01:31.295000,0 days 00:01:30.503000,0 days 00:01:29.708000
3,SAR,4.0,HARD,11,14.0,24.0,1.0,0 days 00:01:39.347000,8.0,0 days 00:01:40.091000,fp1,1053.5,1,0,0,1,2023,conventional,0 days 00:01:31.652000,,
4,NOR,2.0,MEDIUM,3,6.0,8.0,1.0,0 days 00:01:38.897000,1.0,0 days 00:01:38.897000,fp1,957.0,0,0,0,1,2023,conventional,0 days 00:01:31.652000,0 days 00:01:31.381000,
5,NOR,3.0,SOFT,4,9.0,12.0,1.0,0 days 00:01:34.165000,1.0,0 days 00:01:34.165000,fp1,912.0,0,1,1,0,2023,conventional,0 days 00:01:31.652000,0 days 00:01:31.381000,
6,NOR,4.0,SOFT,9,13.0,21.0,1.0,0 days 00:01:39.503000,6.0,0 days 00:01:39.773000,fp1,1016.5,1,0,0,1,2023,conventional,0 days 00:01:31.652000,0 days 00:01:31.381000,
7,PER,1.0,MEDIUM,3,1.0,3.0,1.0,0 days 00:01:35.069000,1.0,0 days 00:01:35.069000,fp1,874.5,0,0,1,0,2023,conventional,0 days 00:01:31.479000,0 days 00:01:30.746000,0 days 00:01:29.846000
8,PER,2.0,MEDIUM,3,4.0,6.0,1.0,0 days 00:01:34.343000,1.0,0 days 00:01:34.343000,fp1,864.5,0,1,1,0,2023,conventional,0 days 00:01:31.479000,0 days 00:01:30.746000,0 days 00:01:29.846000
9,PER,3.0,SOFT,3,7.0,9.0,1.0,0 days 00:01:32.758000,1.0,0 days 00:01:32.758000,fp1,921.5,0,0,1,0,2023,conventional,0 days 00:01:31.479000,0 days 00:01:30.746000,0 days 00:01:29.846000
10,PER,4.0,SOFT,12,10.0,21.0,1.0,0 days 00:01:37.679000,8.0,0 days 00:01:38.622000,fp1,1025.0,1,0,0,1,2023,conventional,0 days 00:01:31.479000,0 days 00:01:30.746000,0 days 00:01:29.846000
11,ALO,1.0,MEDIUM,7,1.0,7.0,1.0,0 days 00:01:34.867000,3.0,0 days 00:01:35.048000,fp1,985.5,0,0,1,0,2023,conventional,0 days 00:01:31.158000,0 days 00:01:30.645000,0 days 00:01:30.336000
12,ALO,3.0,SOFT,5,15.0,19.0,1.0,0 days 00:01:33.196000,1.0,0 days 00:01:33.196000,fp1,932.5,0,0,1,0,2023,conventional,0 days 00:01:31.158000,0 days 00:01:30.645000,0 days 00:01:30.336000
13,LEC,3.0,MEDIUM,3,9.0,11.0,1.0,0 days 00:01:34.257000,1.0,0 days 00:01:34.257000,fp1,858.5,0,1,1,0,2023,conventional,0 days 00:01:31.094000,0 days 00:01:30.282000,0 days 00:01:30
14,LEC,4.0,MEDIUM,2,12.0,13.0,1.0,0 days 00:01:40.966000,1.0,0 days 00:01:40.966000,fp1,970.5,0,0,0,1,2023,conventional,0 days 00:01:31.094000,0 days 00:01:30.282000,0 days 00:01:30
15,LEC,5.0,MEDIUM,4,14.0,17.0,1.0,0 days 00:01:39.070000,2.0,0 days 00:01:39.870500,fp1,1010.5,1,0,0,1,2023,conventional,0 days 00:01:31.094000,0 days 00:01:30.282000,0 days 00:01:30
16,STR,3.0,SOFT,3,11.0,13.0,1.0,0 days 00:01:34.298000,1.0,0 days 00:01:34.298000,fp1,791.5,0,1,1,0,2023,conventional,0 days 00:01:31.184000,0 days 00:01:31.127000,0 days 00:01:30.836000
17,STR,4.0,SOFT,4,14.0,17.0,1.0,0 days 00:01:34.426000,1.0,0 days 00:01:34.426000,fp1,896.5,0,0,1,0,2023,conventional,0 days 00:01:31.184000,0 days 00:01:31.127000,0 days 00:01:30.836000
18,MAG,2.0,SOFT,8,2.0,9.0,1.0,0 days 00:01:35.420000,1.0,0 days 00:01:35.420000,fp1,1023.0,0,1,1,0,2023,conventional,0 days 00:01:31.892000,,
19,MAG,3.0,SOFT,11,10.0,20.0,1.0,0 days 00:01:34.402000,1.0,0 days 00:01:34.402000,fp1,1032.0,1,0,1,0,2023,conventional,0 days 00:01:31.892000,,
20,DEV,2.0,MEDIUM,4,8.0,11.0,1.0,0 days 00:01:39.023000,1.0,0 days 00:01:39.023000,fp1,1011.0,0,0,0,1,2023,conventional,0 days 00:01:32.121000,,
21,DEV,5.0,MEDIUM,7,19.0,25.0,1.0,0 days 00:01:40.303000,4.0,0 days 00:01:40.658000,fp1,1014.5,1,0,0,1,2023,conventional,0 days 00:01:32.121000,,
22,TSU,2.0,SOFT,6,12.0,17.0,1.0,0 days 00:01:35.015000,2.0,0 days 00:01:35.160000,fp1,894.5,0,0,1,0,2023,conventional,0 days 00:01:31.400000,0 days 00:01:32.510000,
23,ZHO,2.0,MEDIUM,7,3.0,9.0,1.0,0 days 00:01:36.889000,4.0,0 days 00:01:38.855000,fp1,1022.0,1,0,0,1,2023,conventional,0 days 00:01:31.615000,0 days 00:01:31.473000,
24,ZHO,4.0,SOFT,3,11.0,13.0,1.0,0 days 00:01:34.575000,1.0,0 days 00:01:34.575000,fp1,827.0,0,0,1,0,2023,conventional,0 days 00:01:31.615000,0 days 00:01:31.473000,
25,ZHO,6.0,SOFT,4,15.0,18.0,1.0,0 days 00:01:34.701000,1.0,0 days 00:01:34.701000,fp1,937.0,0,0,1,0,2023,conventional,0 days 00:01:31.615000,0 days 00:01:31.473000,
26,HUL,2.0,SOFT,10,2.0,11.0,1.0,0 days 00:01:35.865000,4.0,0 days 00:01:38.522000,fp1,1035.0,1,0,0,1,2023,conventional,0 days 00:01:31.204000,0 days 00:01:30.809000,
27,HUL,3.0,SOFT,11,12.0,22.0,1.0,0 days 00:01:35.043000,1.0,0 days 00:01:35.043000,fp1,1034.0,0,1,1,0,2023,conventional,0 days 00:01:31.204000,0 days 00:01:30.809000,
28,HAM,1.0,UNKNOWN,3,1.0,3.0,1.0,0 days 00:01:35.462000,1.0,0 days 00:01:35.462000,fp1,815.5,0,1,1,0,2023,conventional,0 days 00:01:31.543000,0 days 00:01:30.513000,0 days 00:01:30.384000
29,HAM,2.0,MEDIUM,3,4.0,6.0,1.0,0 days 00:01:35.164000,1.0,0 days 00:01:35.164000,fp1,836.0,0,0,1,0,2023,conventional,0 days 00:01:31.543000,0 days 00:01:30.513000,0 days 00:01:30.384000
30,HAM,3.0,MEDIUM,3,7.0,9.0,1.0,0 days 00:01:35.014000,1.0,0 days 00:01:35.014000,fp1,998.0,0,0,1,0,2023,conventional,0 days 00:01:31.543000,0 days 00:01:30.513000,0 days 00:01:30.384000
31,HAM,4.0,MEDIUM,4,10.0,13.0,1.0,0 days 00:01:34.917000,1.0,0 days 00:01:34.917000,fp1,1024.5,1,0,1,0,2023,conventional,0 days 00:01:31.543000,0 days 00:01:30.513000,0 days 00:01:30.384000
32,SAI,4.0,MEDIUM,10,12.0,21.0,1.0,0 days 00:01:40.027000,7.0,0 days 00:01:40.294000,fp1,1023.0,1,0,0,1,2023,conventional,0 days 00:01:30.993000,0 days 00:01:30.515000,0 days 00:01:30.154000
33,RUS,2.0,MEDIUM,3,10.0,12.0,1.0,0 days 00:01:35.050000,1.0,0 days 00:01:35.050000,fp1,999.5,0,1,1,0,2023,conventional,0 days 00:01:31.057000,0 days 00:01:30.507000,0 days 00:01:30.340000
34,BOT,2.0,MEDIUM,7,3.0,9.0,1.0,0 days 00:01:37.149000,4.0,0 days 00:01:38.309000,fp1,1024.0,1,0,0,1,2023,conventional,0 days 00:01:31.504000,0 days 00:01:31.443000,
35,BOT,4.0,SOFT,3,11.0,13.0,1.0,0 days 00:01:34.689000,1.0,0 days 00:01:34.689000,fp1,858.0,0,0,1,0,2023,conventional,0 days 00:01:31.504000,0 days 00:01:31.443000,
36,BOT,5.0,SOFT,3,14.0,16.0,1.0,0 days 00:01:35.475000,1.0,0 days 00:01:35.475000,fp1,950.5,0,0,1,0,2023,conventional,0 days 00:01:31.504000,0 days 00:01:31.443000,
37,BOT,6.0,SOFT,4,17.0,20.0,1.0,0 days 00:01:35.212000,1.0,0 days 00:01:35.212000,fp1,931.5,0,0,1,0,2023,conventional,0 days 00:01:31.504000,0 days 00:01:31.443000,
38,PIA,2.0,SOFT,5,8.0,12.0,1.0,0 days 00:01:34.997000,1.0,0 days 00:01:34.997000,fp1,922.5,0,0,1,0,2023,conventional,0 days 00:01:32.101000,,
39,PIA,3.0,SOFT,9,13.0,21.0,1.0,0 days 00:01:40.116000,8.0,0 days 00:01:40.744000,fp1,1029.0,1,0,0,1,2023,conventional,0 days 00:01:32.101000,,
40,VER,1.0,MEDIUM,3,1.0,3.0,1.0,0 days 00:01:35.429000,1.0,0 days 00:01:35.429000,fp1,748.0,0,1,1,0,2023,conventional,0 days 00:01:31.295000,0 days 00:01:30.503000,0 days 00:01:29.708000
