,Driver,Stint,Compound,LapCount,FirstLap,LastLap,race_number,fastest_laptime,number_quick_laptime,avg_quick_laptime,fp_session,SpeedTotal,high_engine_mode,low_engine_mode,quali_sim,race_sim,year,event_format,q1,q2,q3
0,RIC,3.0,SOFT,4,11.0,14.0,1.0,0 days 00:01:32.434000,1.0,0 days 00:01:32.434000,fp1,1065.5,1,0,1,0,2021,conventional,0 days 00:01:30.795000,0 days 00:01:30.222000,0 days 00:01:29.927000
1,RIC,5.0,SOFT,5,16.0,20.0,1.0,0 days 00:01:39.160000,3.0,0 days 00:01:39.693000,fp1,1035.5,0,0,0,1,2021,conventional,0 days 00:01:30.795000,0 days 00:01:30.222000,0 days 00:01:29.927000
2,NOR,2.0,SOFT,3,9.0,11.0,1.0,0 days 00:01:31.897000,1.0,0 days 00:01:31.897000,fp1,924.5,0,1,1,0,2021,conventional,0 days 00:01:30.902000,0 days 00:01:30.099000,0 days 00:01:29.974000
3,NOR,3.0,SOFT,2,12.0,13.0,1.0,0 days 00:01:36.662000,1.0,0 days 00:01:36.662000,fp1,928.5,0,0,0,1,2021,conventional,0 days 00:01:30.902000,0 days 00:01:30.099000,0 days 00:01:29.974000
4,NOR,5.0,SOFT,6,15.0,20.0,1.0,0 days 00:01:39.345000,4.0,0 days 00:01:40.332500,fp1,1040.5,1,0,0,1,2021,conventional,0 days 00:01:30.902000,0 days 00:01:30.099000,0 days 00:01:29.974000
5,VET,3.0,SOFT,3,10.0,12.0,1.0,0 days 00:01:33.157000,1.0,0 days 00:01:33.157000,fp1,913.5,0,1,1,0,2021,conventional,0 days 00:01:32.056000,,
6,VET,4.0,SOFT,9,13.0,21.0,1.0,0 days 00:01:39.308000,6.0,0 days 00:01:40.281500,fp1,1030.0,1,0,0,1,2021,conventional,0 days 00:01:32.056000,,
7,LAT,5.0,HARD,10,13.0,22.0,1.0,0 days 00:01:40.493000,8.0,0 days 00:01:41.059000,fp1,1035.0,0,0,0,1,2021,conventional,0 days 00:01:31.936000,,
8,RAI,4.0,SOFT,3,10.0,12.0,1.0,0 days 00:01:33.134000,1.0,0 days 00:01:33.134000,fp1,791.0,0,1,1,0,2021,conventional,0 days 00:01:31.547000,0 days 00:01:31.238000,
9,RAI,5.0,SOFT,3,13.0,15.0,1.0,0 days 00:01:33.640000,1.0,0 days 00:01:33.640000,fp1,1016.0,1,0,1,0,2021,conventional,0 days 00:01:31.547000,0 days 00:01:31.238000,
10,GAS,1.0,SOFT,9,1.0,9.0,1.0,0 days 00:01:33.288000,3.0,0 days 00:01:33.486000,fp1,854.0,0,1,1,0,2021,conventional,0 days 00:01:30.848000,0 days 00:01:30.513000,0 days 00:01:29.809000
11,GAS,2.0,SOFT,5,10.0,14.0,1.0,0 days 00:01:36.991000,4.0,0 days 00:01:37.686000,fp1,1039.0,1,0,0,1,2021,conventional,0 days 00:01:30.848000,0 days 00:01:30.513000,0 days 00:01:29.809000
12,GAS,3.0,SOFT,3,15.0,17.0,1.0,0 days 00:01:32.195000,1.0,0 days 00:01:32.195000,fp1,891.0,0,0,1,0,2021,conventional,0 days 00:01:30.848000,0 days 00:01:30.513000,0 days 00:01:29.809000
13,GAS,4.0,SOFT,5,18.0,22.0,1.0,0 days 00:01:35.975000,3.0,0 days 00:01:36.543000,fp1,1038.0,0,0,0,1,2021,conventional,0 days 00:01:30.848000,0 days 00:01:30.513000,0 days 00:01:29.809000
14,PER,1.0,SOFT,6,1.0,6.0,1.0,0 days 00:01:32.766000,2.0,0 days 00:01:32.973000,fp1,915.5,0,1,1,0,2021,conventional,0 days 00:01:31.165000,0 days 00:01:30.659000,
15,PER,2.0,SOFT,3,7.0,9.0,1.0,0 days 00:01:41.570000,1.0,0 days 00:01:41.570000,fp1,1024.5,1,0,0,1,2021,conventional,0 days 00:01:31.165000,0 days 00:01:30.659000,
16,PER,3.0,SOFT,6,10.0,15.0,1.0,0 days 00:01:32.071000,2.0,0 days 00:01:32.608000,fp1,916.0,0,0,1,0,2021,conventional,0 days 00:01:31.165000,0 days 00:01:30.659000,
17,ALO,1.0,HARD,5,1.0,5.0,1.0,0 days 00:01:36.758000,2.0,0 days 00:01:37.056000,fp1,1037.0,0,0,0,1,2021,conventional,0 days 00:01:30.863000,0 days 00:01:30.595000,0 days 00:01:30.249000
18,ALO,2.0,HARD,5,6.0,10.0,1.0,0 days 00:01:37.524000,2.0,0 days 00:01:37.700000,fp1,1038.5,1,0,0,1,2021,conventional,0 days 00:01:30.863000,0 days 00:01:30.595000,0 days 00:01:30.249000
19,LEC,2.0,SOFT,6,2.0,7.0,1.0,0 days 00:01:32.904000,2.0,0 days 00:01:33.061000,fp1,865.0,1,0,1,0,2021,conventional,0 days 00:01:30.691000,0 days 00:01:30.010000,0 days 00:01:29.678000
20,LEC,3.0,SOFT,6,8.0,13.0,1.0,0 days 00:01:31.993000,2.0,0 days 00:01:32.421000,fp1,844.5,0,1,1,0,2021,conventional,0 days 00:01:30.691000,0 days 00:01:30.010000,0 days 00:01:29.678000
21,STR,3.0,SOFT,3,11.0,13.0,1.0,0 days 00:01:33.233000,1.0,0 days 00:01:33.233000,fp1,913.0,0,0,1,0,2021,conventional,0 days 00:01:31.261000,0 days 00:01:30.624000,0 days 00:01:30.601000
22,STR,4.0,SOFT,7,14.0,20.0,1.0,0 days 00:01:38.430000,4.0,0 days 00:01:40.537000,fp1,1059.0,1,0,0,1,2021,conventional,0 days 00:01:31.261000,0 days 00:01:30.624000,0 days 00:01:30.601000
23,TSU,2.0,SOFT,10,2.0,11.0,1.0,0 days 00:01:33.400000,3.0,0 days 00:01:33.863000,fp1,923.5,0,0,1,0,2021,conventional,0 days 00:01:30.607000,0 days 00:01:31.203000,
24,TSU,3.0,SOFT,5,12.0,16.0,1.0,0 days 00:01:33.329000,1.0,0 days 00:01:33.329000,fp1,843.0,0,1,1,0,2021,conventional,0 days 00:01:30.607000,0 days 00:01:31.203000,
25,TSU,4.0,SOFT,5,17.0,21.0,1.0,0 days 00:01:36.931000,2.0,0 days 00:01:37.710500,fp1,1054.5,1,0,0,1,2021,conventional,0 days 00:01:30.607000,0 days 00:01:31.203000,
26,OCO,1.0,HARD,5,1.0,5.0,1.0,0 days 00:01:36.284000,3.0,0 days 00:01:37.014000,fp1,1036.0,1,0,0,1,2021,conventional,0 days 00:01:31.724000,,
27,OCO,2.0,HARD,4,6.0,9.0,1.0,0 days 00:01:36.817000,2.0,0 days 00:01:37.446000,fp1,1024.5,0,0,0,1,2021,conventional,0 days 00:01:31.724000,,
28,OCO,3.0,HARD,5,10.0,14.0,1.0,0 days 00:01:36.720000,3.0,0 days 00:01:38.153000,fp1,1030.5,0,0,0,1,2021,conventional,0 days 00:01:31.724000,,
29,OCO,4.0,SOFT,6,15.0,20.0,1.0,0 days 00:01:33.528000,2.0,0 days 00:01:33.745000,fp1,916.5,0,1,1,0,2021,conventional,0 days 00:01:31.724000,,
30,VER,1.0,SOFT,6,1.0,6.0,1.0,0 days 00:01:32.453000,2.0,0 days 00:01:32.522000,fp1,887.0,0,1,1,0,2021,conventional,0 days 00:01:30.499000,0 days 00:01:30.318000,0 days 00:01:28.997000
31,VER,2.0,SOFT,3,7.0,9.0,1.0,0 days 00:01:33.088000,1.0,0 days 00:01:33.088000,fp1,900.5,1,0,1,0,2021,conventional,0 days 00:01:30.499000,0 days 00:01:30.318000,0 days 00:01:28.997000
32,VER,3.0,SOFT,3,10.0,12.0,1.0,0 days 00:01:31.394000,1.0,0 days 00:01:31.394000,fp1,888.5,0,0,1,0,2021,conventional,0 days 00:01:30.499000,0 days 00:01:30.318000,0 days 00:01:28.997000
33,HAM,1.0,SOFT,3,1.0,3.0,1.0,0 days 00:01:32.844000,1.0,0 days 00:01:32.844000,fp1,767.5,0,1,1,0,2021,conventional,0 days 00:01:30.617000,0 days 00:01:30.085000,0 days 00:01:29.385000
34,HAM,2.0,SOFT,3,4.0,6.0,1.0,0 days 00:01:32.214000,1.0,0 days 00:01:32.214000,fp1,998.0,0,0,1,0,2021,conventional,0 days 00:01:30.617000,0 days 00:01:30.085000,0 days 00:01:29.385000
35,HAM,3.0,SOFT,3,7.0,9.0,1.0,0 days 00:01:33.493000,1.0,0 days 00:01:33.493000,fp1,895.5,0,0,1,0,2021,conventional,0 days 00:01:30.617000,0 days 00:01:30.085000,0 days 00:01:29.385000
36,HAM,4.0,SOFT,3,10.0,12.0,1.0,0 days 00:01:31.921000,1.0,0 days 00:01:31.921000,fp1,804.5,0,0,1,0,2021,conventional,0 days 00:01:30.617000,0 days 00:01:30.085000,0 days 00:01:29.385000
37,HAM,5.0,SOFT,3,13.0,15.0,1.0,0 days 00:01:32.328000,1.0,0 days 00:01:32.328000,fp1,1062.0,1,0,1,0,2021,conventional,0 days 00:01:30.617000,0 days 00:01:30.085000,0 days 00:01:29.385000
38,SAI,2.0,SOFT,6,2.0,7.0,1.0,0 days 00:01:33.557000,2.0,0 days 00:01:33.606500,fp1,849.0,0,1,1,0,2021,conventional,0 days 00:01:31.653000,0 days 00:01:30.009000,0 days 00:01:30.215000
39,SAI,3.0,SOFT,6,8.0,13.0,1.0,0 days 00:01:32.366000,2.0,0 days 00:01:32.745000,fp1,853.5,1,0,1,0,2021,conventional,0 days 00:01:31.653000,0 days 00:01:30.009000,0 days 00:01:30.215000
40,RUS,2.0,SOFT,3,6.0,8.0,1.0,0 days 00:01:34.127000,1.0,0 days 00:01:34.127000,fp1,914.0,0,1,1,0,2021,conventional,0 days 00:01:31.316000,0 days 00:01:33.430000,
41,RUS,5.0,HARD,10,13.0,22.0,1.0,0 days 00:01:39.677000,8.0,0 days 00:01:39.919000,fp1,1039.0,1,0,0,1,2021,conventional,0 days 00:01:31.316000,0 days 00:01:33.430000,
42,BOT,1.0,SOFT,3,1.0,3.0,1.0,0 days 00:01:32.709000,1.0,0 days 00:01:32.709000,fp1,850.0,0,1,1,0,2021,conventional,0 days 00:01:31.200000,0 days 00:01:30.186000,0 days 00:01:29.586000
43,BOT,2.0,SOFT,3,4.0,6.0,1.0,0 days 00:01:33.504000,1.0,0 days 00:01:33.504000,fp1,918.0,0,0,1,0,2021,conventional,0 days 00:01:31.200000,0 days 00:01:30.186000,0 days 00:01:29.586000
44,BOT,3.0,SOFT,5,7.0,11.0,1.0,0 days 00:01:33.194000,1.0,0 days 00:01:33.194000,fp1,1048.0,1,0,1,0,2021,conventional,0 days 00:01:31.200000,0 days 00:01:30.186000,0 days 00:01:29.586000
45,BOT,4.0,SOFT,3,12.0,14.0,1.0,0 days 00:01:31.692000,1.0,0 days 00:01:31.692000,fp1,908.0,0,0,1,0,2021,conventional,0 days 00:01:31.200000,0 days 00:01:30.186000,0 days 00:01:29.586000
46,BOT,5.0,SOFT,3,15.0,17.0,1.0,0 days 00:01:32.392000,1.0,0 days 00:01:32.392000,fp1,948.0,0,0,1,0,2021,conventional,0 days 00:01:31.200000,0 days 00:01:30.186000,0 days 00:01:29.586000
47,GIO,4.0,SOFT,3,10.0,12.0,1.0,0 days 00:01:32.786000,1.0,0 days 00:01:32.786000,fp1,854.0,0,1,1,0,2021,conventional,0 days 00:01:30.998000,0 days 00:01:30.708000,
48,RIC,3.0,SOFT,4,11.0,14.0,1.0,0 days 00:01:32.434000,1.0,0 days 00:01:32.434000,fp1,1065.5,1,0,1,0,2021,conventional,0 days 00:01:30.795000,0 days 00:01:30.222000,0 days 00:01:29.927000
49,RIC,5.0,SOFT,5,16.0,20.0,1.0,0 days 00:01:39.160000,3.0,0 days 00:01:39.693000,fp1,1035.5,0,0,0,1,2021,conventional,0 days 00:01:30.795000,0 days 00:01:30.222000,0 days 00:01:29.927000
50,NOR,2.0,SOFT,3,9.0,11.0,1.0,0 days 00:01:31.897000,1.0,0 days 00:01:31.897000,fp1,924.5,0,1,1,0,2021,conventional,0 days 00:01:30.902000,0 days 00:01:30.099000,0 days 00:01:29.974000
51,NOR,3.0,SOFT,2,12.0,13.0,1.0,0 days 00:01:36.662000,1.0,0 days 00:01:36.662000,fp1,928.5,0,0,0,1,2021,conventional,0 days 00:01:30.902000,0 days 00:01:30.099000,0 days 00:01:29.974000
52,NOR,5.0,SOFT,6,15.0,20.0,1.0,0 days 00:01:39.345000,4.0,0 days 00:01:40.332500,fp1,1040.5,1,0,0,1,2021,conventional,0 days 00:01:30.902000,0 days 00:01:30.099000,0 days 00:01:29.974000
53,VET,3.0,SOFT,3,10.0,12.0,1.0,0 days 00:01:33.157000,1.0,0 days 00:01:33.157000,fp1,913.5,0,1,1,0,2021,conventional,0 days 00:01:32.056000,,
54,VET,4.0,SOFT,9,13.0,21.0,1.0,0 days 00:01:39.308000,6.0,0 days 00:01:40.281500,fp1,1030.0,1,0,0,1,2021,conventional,0 days 00:01:32.056000,,
55,LAT,5.0,HARD,10,13.0,22.0,1.0,0 days 00:01:40.493000,8.0,0 days 00:01:41.059000,fp1,1035.0,0,0,0,1,2021,conventional,0 days 00:01:31.936000,,
56,RAI,4.0,SOFT,3,10.0,12.0,1.0,0 days 00:01:33.134000,1.0,0 days 00:01:33.134000,fp1,791.0,0,1,1,0,2021,conventional,0 days 00:01:31.547000,0 days 00:01:31.238000,
57,RAI,5.0,SOFT,3,13.0,15.0,1.0,0 days 00:01:33.640000,1.0,0 days 00:01:33.640000,fp1,1016.0,1,0,1,0,2021,conventional,0 days 00:01:31.547000,0 days 00:01:31.238000,
58,GAS,1.0,SOFT,9,1.0,9.0,1.0,0 days 00:01:33.288000,3.0,0 days 00:01:33.486000,fp1,854.0,0,1,1,0,2021,conventional,0 days 00:01:30.848000,0 days 00:01:30.513000,0 days 00:01:29.809000
59,GAS,2.0,SOFT,5,10.0,14.0,1.0,0 days 00:01:36.991000,4.0,0 days 00:01:37.686000,fp1,1039.0,1,0,0,1,2021,conventional,0 days 00:01:30.848000,0 days 00:01:30.513000,0 days 00:01:29.809000
60,GAS,3.0,SOFT,3,15.0,17.0,1.0,0 days 00:01:32.195000,1.0,0 days 00:01:32.195000,fp1,891.0,0,0,1,0,2021,conventional,0 days 00:01:30.848000,0 days 00:01:30.513000,0 days 00:01:29.809000
61,GAS,4.0,SOFT,5,18.0,22.0,1.0,0 days 00:01:35.975000,3.0,0 days 00:01:36.543000,fp1,1038.0,0,0,0,1,2021,conventional,0 days 00:01:30.848000,0 days 00:01:30.513000,0 days 00:01:29.809000
62,PER,1.0,SOFT,6,1.0,6.0,1.0,0 days 00:01:32.766000,2.0,0 days 00:01:32.973000,fp1,915.5,0,1,1,0,2021,conventional,0 days 00:01:31.165000,0 days 00:01:30.659000,
63,PER,2.0,SOFT,3,7.0,9.0,1.0,0 days 00:01:41.570000,1.0,0 days 00:01:41.570000,fp1,1024.5,1,0,0,1,2021,conventional,0 days 00:01:31.165000,0 days 00:01:30.659000,
64,PER,3.0,SOFT,6,10.0,15.0,1.0,0 days 00:01:32.071000,2.0,0 days 00:01:32.608000,fp1,916.0,0,0,1,0,2021,conventional,0 days 00:01:31.165000,0 days 00:01:30.659000,
65,ALO,1.0,HARD,5,1.0,5.0,1.0,0 days 00:01:36.758000,2.0,0 days 00:01:37.056000,fp1,1037.0,0,0,0,1,2021,conventional,0 days 00:01:30.863000,0 days 00:01:30.595000,0 days 00:01:30.249000
66,ALO,2.0,HARD,5,6.0,10.0,1.0,0 days 00:01:37.524000,2.0,0 days 00:01:37.700000,fp1,1038.5,1,0,0,1,2021,conventional,0 days 00:01:30.863000,0 days 00:01:30.595000,0 days 00:01:30.249000
67,LEC,2.0,SOFT,6,2.0,7.0,1.0,0 days 00:01:32.904000,2.0,0 days 00:01:33.061000,fp1,865.0,1,0,1,0,2021,conventional,0 days 00:01:30.691000,0 days 00:01:30.010000,0 days 00:01:29.678000
68,LEC,3.0,SOFT,6,8.0,13.0,1.0,0 days 00:01:31.993000,2.0,0 days 00:01:32.421000,fp1,844.5,0,1,1,0,2021,conventional,0 days 00:01:30.691000,0 days 00:01:30.010000,0 days 00:01:29.678000
69,STR,3.0,SOFT,3,11.0,13.0,1.0,0 days 00:01:33.233000,1.0,0 days 00:01:33.233000,fp1,913.0,0,0,1,0,2021,conventional,0 days 00:01:31.261000,0 days 00:01:30.624000,0 days 00:01:30.601000
70,STR,4.0,SOFT,7,14.0,20.0,1.0,0 days 00:01:38.430000,4.0,0 days 00:01:40.537000,fp1,1059.0,1,0,0,1,2021,conventional,0 days 00:01:31.261000,0 days 00:01:30.624000,0 days 00:01:30.601000
71,TSU,2.0,SOFT,10,2.0,11.0,1.0,0 days 00:01:33.400000,3.0,0 days 00:01:33.863000,fp1,923.5,0,0,1,0,2021,conventional,0 days 00:01:30.607000,0 days 00:01:31.203000,
72,TSU,3.0,SOFT,5,12.0,16.0,1.0,0 days 00:01:33.329000,1.0,0 days 00:01:33.329000,fp1,843.0,0,1,1,0,2021,conventional,0 days 00:01:30.607000,0 days 00:01:31.203000,
