,Driver,Stint,Compound,LapCount,FirstLap,LastLap,race_number,fastest_laptime,number_quick_laptime,avg_quick_laptime,fp_session,SpeedTotal,high_engine_mode,low_engine_mode,quali_sim,race_sim,year,event_format,q1,q2,q3
0,VER,1.0,MEDIUM,3,1.0,3.0,1.0,0 days 00:01:33.900000,1.0,0 days 00:01:33.900000,fp1,849.5,0,1,1,0,2024,conventional,0 days 00:01:30.031000,0 days 00:01:29.374000,0 days 00:01:29.179000
1,VER,2.0,MEDIUM,3,4.0,6.0,1.0,0 days 00:01:33.535000,1.0,0 days 00:01:33.535000,fp1,994.5,0,0,1,0,2024,conventional,0 days 00:01:30.031000,0 days 00:01:29.374000,0 days 00:01:29.179000
2,VER,3.0,MEDIUM,6,7.0,12.0,1.0,0 days 00:01:33.238000,1.0,0 days 00:01:33.238000,fp1,888.5,0,0,1,0,2024,conventional,0 days 00:01:30.031000,0 days 00:01:29.374000,0 days 00:01:29.179000
3,VER,4.0,MEDIUM,9,13.0,21.0,1.0,0 days 00:01:37.576000,6.0,0 days 00:01:37.767500,fp1,1033.0,1,0,0,1,2024,conventional,0 days 00:01:30.031000,0 days 00:01:29.374000,0 days 00:01:29.179000
4,SAR,2.0,MEDIUM,8,9.0,16.0,1.0,0 days 00:01:34.213000,3.0,0 days 00:01:34.717000,fp1,1027.0,0,0,1,0,2024,conventional,0 days 00:01:30.770000,,
5,RIC,1.0,MEDIUM,10,1.0,10.0,1.0,0 days 00:01:34.670000,4.0,0 days 00:01:35.005500,fp1,972.0,0,0,1,0,2024,conventional,0 days 00:01:30.562000,0 days 00:01:30.278000,
6,RIC,2.0,SOFT,3,11.0,13.0,1.0,0 days 00:01:32.869000,1.0,0 days 00:01:32.869000,fp1,803.5,0,1,1,0,2024,conventional,0 days 00:01:30.562000,0 days 00:01:30.278000,
7,RIC,4.0,SOFT,9,15.0,23.0,1.0,0 days 00:01:38.245000,6.0,0 days 00:01:38.308500,fp1,1025.0,1,0,0,1,2024,conventional,0 days 00:01:30.562000,0 days 00:01:30.278000,
8,NOR,1.0,MEDIUM,7,1.0,7.0,1.0,0 days 00:01:34.506000,3.0,0 days 00:01:35.354000,fp1,909.0,0,0,1,0,2024,conventional,0 days 00:01:30.143000,0 days 00:01:29.941000,0 days 00:01:29.614000
9,NOR,2.0,MEDIUM,2,8.0,9.0,1.0,0 days 00:01:39.687000,1.0,0 days 00:01:39.687000,fp1,927.0,0,0,0,1,2024,conventional,0 days 00:01:30.143000,0 days 00:01:29.941000,0 days 00:01:29.614000
10,NOR,3.0,SOFT,5,10.0,14.0,1.0,0 days 00:01:32.901000,1.0,0 days 00:01:32.901000,fp1,808.5,0,1,1,0,2024,conventional,0 days 00:01:30.143000,0 days 00:01:29.941000,0 days 00:01:29.614000
