,Driver,Stint,Compound,LapCount,FirstLap,LastLap,race_number,fastest_laptime,number_quick_laptime,avg_quick_laptime,fp_session,SpeedTotal,high_engine_mode,low_engine_mode,quali_sim,race_sim,year,event_format,q1,q2,q3
0,VER,1.0,HARD,3,1.0,3.0,1.0,0 days 00:01:37.766000,1.0,0 days 00:01:37.766000,fp1,881.5,0,1,0,1,2022,conventional,0 days 00:01:31.785000,0 days 00:01:30.757000,0 days 00:01:30.681000
1,VER,2.0,MEDIUM,5,4.0,8.0,1.0,0 days 00:01:34.742000,2.0,0 days 00:01:34.762500,fp1,1008.0,0,0,1,0,2022,conventional,0 days 00:01:31.785000,0 days 00:01:30.757000,0 days 00:01:30.681000
2,VER,4.0,MEDIUM,13,10.0,22.0,1.0,0 days 00:01:38.702000,10.0,0 days 00:01:39.125000,fp1,1027.0,1,0,0,1,2022,conventional,0 days 00:01:31.785000,0 days 00:01:30.757000,0 days 00:01:30.681000
3,RIC,1.0,SOFT,3,1.0,3.0,1.0,0 days 00:01:36.918000,1.0,0 days 00:01:36.918000,fp1,1024.5,1,0,1,0,2022,conventional,0 days 00:01:32.945000,,
4,RIC,2.0,SOFT,7,4.0,10.0,1.0,0 days 00:01:36.402000,3.0,0 days 00:01:36.745000,fp1,967.5,0,1,1,0,2022,conventional,0 days 00:01:32.945000,,
5,NOR,1.0,SOFT,3,1.0,3.0,1.0,0 days 00:01:36.584000,1.0,0 days 00:01:36.584000,fp1,996.5,0,0,1,0,2022,conventional,0 days 00:01:32.239000,0 days 00:01:32.008000,
6,NOR,2.0,SOFT,7,4.0,10.0,1.0,0 days 00:01:36.304000,3.0,0 days 00:01:36.398000,fp1,955.0,0,1,1,0,2022,conventional,0 days 00:01:32.239000,0 days 00:01:32.008000,
7,LAT,3.0,SOFT,3,7.0,9.0,1.0,0 days 00:01:35.644000,1.0,0 days 00:01:35.644000,fp1,1025.0,0,0,1,0,2022,conventional,0 days 00:01:33.634000,,
8,LAT,4.0,SOFT,3,10.0,12.0,1.0,0 days 00:01:36.564000,1.0,0 days 00:01:36.564000,fp1,940.5,0,0,1,0,2022,conventional,0 days 00:01:33.634000,,
9,GAS,1.0,HARD,3,1.0,3.0,1.0,0 days 00:01:38.021000,1.0,0 days 00:01:38.021000,fp1,881.5,0,1,0,1,2022,conventional,0 days 00:01:32.096000,0 days 00:01:31.635000,0 days 00:01:32.338000
10,GAS,3.0,SOFT,12,12.0,23.0,1.0,0 days 00:01:34.193000,2.0,0 days 00:01:34.831000,fp1,1046.0,1,0,1,0,2022,conventional,0 days 00:01:32.096000,0 days 00:01:31.635000,0 days 00:01:32.338000
11,PER,2.0,MEDIUM,5,5.0,9.0,1.0,0 days 00:01:35.241000,2.0,0 days 00:01:35.623500,fp1,936.5,0,1,1,0,2022,conventional,0 days 00:01:32.311000,0 days 00:01:31.008000,0 days 00:01:30.921000
12,PER,3.0,MEDIUM,3,10.0,12.0,1.0,0 days 00:01:35.050000,1.0,0 days 00:01:35.050000,fp1,951.0,0,0,1,0,2022,conventional,0 days 00:01:32.311000,0 days 00:01:31.008000,0 days 00:01:30.921000
13,PER,4.0,MEDIUM,11,13.0,23.0,1.0,0 days 00:01:39.189000,8.0,0 days 00:01:39.520000,fp1,1031.0,1,0,0,1,2022,conventional,0 days 00:01:32.311000,0 days 00:01:31.008000,0 days 00:01:30.921000
14,ALO,1.0,SOFT,5,1.0,5.0,1.0,0 days 00:01:35.179000,2.0,0 days 00:01:35.213000,fp1,1012.0,0,0,1,0,2022,conventional,0 days 00:01:32.346000,0 days 00:01:31.621000,0 days 00:01:32.195000
15,ALO,2.0,SOFT,3,6.0,8.0,1.0,0 days 00:01:35.852000,1.0,0 days 00:01:35.852000,fp1,1028.5,1,0,1,0,2022,conventional,0 days 00:01:32.346000,0 days 00:01:31.621000,0 days 00:01:32.195000
16,ALO,3.0,SOFT,6,9.0,14.0,1.0,0 days 00:01:35,2.0,0 days 00:01:35.135500,fp1,972.0,0,1,1,0,2022,conventional,0 days 00:01:32.346000,0 days 00:01:31.621000,0 days 00:01:32.195000
17,LEC,1.0,HARD,3,1.0,3.0,1.0,0 days 00:01:45.601000,1.0,0 days 00:01:45.601000,fp1,949.0,0,1,0,1,2022,conventional,0 days 00:01:31.471000,0 days 00:01:30.932000,0 days 00:01:30.558000
18,LEC,3.0,MEDIUM,6,11.0,16.0,1.0,0 days 00:01:34.557000,1.0,0 days 00:01:34.557000,fp1,1019.5,0,0,1,0,2022,conventional,0 days 00:01:31.471000,0 days 00:01:30.932000,0 days 00:01:30.558000
19,LEC,4.0,MEDIUM,2,17.0,18.0,1.0,0 days 00:01:38.204000,1.0,0 days 00:01:38.204000,fp1,982.0,0,0,0,1,2022,conventional,0 days 00:01:31.471000,0 days 00:01:30.932000,0 days 00:01:30.558000
20,LEC,5.0,MEDIUM,4,19.0,22.0,1.0,0 days 00:01:36.431000,1.0,0 days 00:01:36.431000,fp1,1019.5,0,0,1,0,2022,conventional,0 days 00:01:31.471000,0 days 00:01:30.932000,0 days 00:01:30.558000
21,STR,1.0,HARD,3,1.0,3.0,1.0,0 days 00:01:41.350000,1.0,0 days 00:01:41.350000,fp1,1009.5,0,0,0,1,2022,conventional,0 days 00:01:33.032000,,
22,STR,2.0,HARD,8,4.0,11.0,1.0,0 days 00:01:37.402000,3.0,0 days 00:01:37.732000,fp1,1033.5,1,0,0,1,2022,conventional,0 days 00:01:33.032000,,
23,STR,3.0,SOFT,11,12.0,22.0,1.0,0 days 00:01:34.814000,2.0,0 days 00:01:35.091500,fp1,930.0,0,1,1,0,2022,conventional,0 days 00:01:33.032000,,
24,TSU,1.0,HARD,4,1.0,4.0,1.0,0 days 00:01:39.255000,1.0,0 days 00:01:39.255000,fp1,942.0,0,1,0,1,2022,conventional,0 days 00:01:32.750000,,
25,TSU,3.0,SOFT,7,10.0,16.0,1.0,0 days 00:01:35.028000,3.0,0 days 00:01:35.030000,fp1,983.5,0,0,1,0,2022,conventional,0 days 00:01:32.750000,,
26,TSU,4.0,SOFT,4,17.0,20.0,1.0,0 days 00:01:38.768000,1.0,0 days 00:01:38.768000,fp1,985.0,0,0,0,1,2022,conventional,0 days 00:01:32.750000,,
27,ALB,3.0,SOFT,3,7.0,9.0,1.0,0 days 00:01:43.098000,1.0,0 days 00:01:43.098000,fp1,886.5,0,0,0,1,2022,conventional,0 days 00:01:32.726000,0 days 00:01:32.664000,
