,Driver,Stint,Compound,LapCount,FirstLap,LastLap,race_number,fastest_laptime,number_quick_laptime,avg_quick_laptime,fp_session,SpeedTotal,high_engine_mode,low_engine_mode,quali_sim,race_sim,year,event_format,q1,q2,q3
0,RIC,4.0,SOFT,5,7.0,11.0,1.0,0 days 00:01:25.634000,2.0,0 days 00:01:25.929500,fp1,1081.5,0,0,1,0,2019,conventional,0 days 00:01:22.921000,0 days 00:01:22.570000,
1,NOR,6.0,SOFT,10,22.0,31.0,1.0,0 days 00:01:30.238000,7.0,0 days 00:01:30.717000,fp1,1113.0,0,0,0,1,2019,conventional,0 days 00:01:22.702000,0 days 00:01:22.423000,0 days 00:01:22.304000
2,VET,2.0,SOFT,6,2.0,7.0,1.0,0 days 00:01:26.067000,2.0,0 days 00:01:26.727500,fp1,1068.0,0,0,0,1,2019,conventional,0 days 00:01:22.885000,0 days 00:01:21.912000,0 days 00:01:21.190000
3,VET,4.0,SOFT,3,9.0,11.0,1.0,0 days 00:01:23.637000,1.0,0 days 00:01:23.637000,fp1,1038.0,0,1,1,0,2019,conventional,0 days 00:01:22.885000,0 days 00:01:21.912000,0 days 00:01:21.190000
4,VET,6.0,SOFT,6,13.0,18.0,1.0,0 days 00:01:28.596000,3.0,0 days 00:01:28.917000,fp1,1088.0,1,0,0,1,2019,conventional,0 days 00:01:22.885000,0 days 00:01:21.912000,0 days 00:01:21.190000
5,RAI,2.0,MEDIUM,7,2.0,8.0,1.0,0 days 00:01:26.819000,4.0,0 days 00:01:27.469500,fp1,1134.0,1,0,0,1,2019,conventional,0 days 00:01:22.966000,0 days 00:01:22.349000,0 days 00:01:22.314000
6,RAI,4.0,SOFT,5,10.0,14.0,1.0,0 days 00:01:24.816000,2.0,0 days 00:01:24.823500,fp1,1039.5,0,1,1,0,2019,conventional,0 days 00:01:22.966000,0 days 00:01:22.349000,0 days 00:01:22.314000
7,RAI,5.0,SOFT,4,15.0,18.0,1.0,0 days 00:01:29.386000,2.0,0 days 00:01:29.390500,fp1,1073.5,0,0,0,1,2019,conventional,0 days 00:01:22.966000,0 days 00:01:22.349000,0 days 00:01:22.314000
8,GRO,3.0,SOFT,8,6.0,13.0,1.0,0 days 00:01:25.224000,3.0,0 days 00:01:25.571000,fp1,1101.5,1,0,1,0,2019,conventional,0 days 00:01:22.959000,0 days 00:01:21.870000,0 days 00:01:21.826000
9,GRO,4.0,SOFT,5,14.0,18.0,1.0,0 days 00:01:29.135000,3.0,0 days 00:01:29.218000,fp1,1071.0,0,1,0,1,2019,conventional,0 days 00:01:22.959000,0 days 00:01:21.870000,0 days 00:01:21.826000
10,GAS,2.0,SOFT,9,2.0,10.0,1.0,0 days 00:01:25.363000,3.0,0 days 00:01:25.878000,fp1,1077.0,0,0,1,0,2019,conventional,0 days 00:01:23.020000,,
11,GAS,3.0,SOFT,6,11.0,16.0,1.0,0 days 00:01:24.932000,2.0,0 days 00:01:25.239000,fp1,1035.5,0,1,1,0,2019,conventional,0 days 00:01:23.020000,,
12,GAS,4.0,SOFT,7,17.0,23.0,1.0,0 days 00:01:29.074000,3.0,0 days 00:01:29.813000,fp1,1108.5,1,0,0,1,2019,conventional,0 days 00:01:23.020000,,
13,PER,3.0,MEDIUM,4,10.0,13.0,1.0,0 days 00:01:25.498000,1.0,0 days 00:01:25.498000,fp1,1079.0,0,1,1,0,2019,conventional,0 days 00:01:22.908000,0 days 00:01:22.532000,0 days 00:01:22.781000
14,PER,4.0,MEDIUM,8,14.0,21.0,1.0,0 days 00:01:28.845000,4.0,0 days 00:01:29.224000,fp1,1115.5,0,0,0,1,2019,conventional,0 days 00:01:22.908000,0 days 00:01:22.532000,0 days 00:01:22.781000
