,Driver,Stint,Compound,LapCount,FirstLap,LastLap,race_number,fastest_laptime,number_quick_laptime,avg_quick_laptime,fp_session,SpeedTotal,high_engine_mode,low_engine_mode,quali_sim,race_sim,year,event_format,q1,q2,q3
3929,BOT,5.0,HARD,19,34.0,52.0,16.0,0 days 00:00:57.802000,12.0,0 days 00:00:58.354500,fp2,1117.0,1,0,0,1,2020,conventional,0 days 00:00:53.904000,0 days 00:00:53.803000,0 days 00:00:53.377000
3930,AIT,4.0,SOFT,17,22.0,38.0,16.0,0 days 00:00:58.923000,15.0,0 days 00:00:59.571000,fp2,1111.0,0,0,0,1,2020,conventional,0 days 00:00:54.892000,,
3931,AIT,5.0,MEDIUM,20,39.0,58.0,16.0,0 days 00:00:58.727000,17.0,0 days 00:00:59.013000,fp2,1119.5,1,0,0,1,2020,conventional,0 days 00:00:54.892000,,
3932,GIO,1.0,MEDIUM,6,1.0,6.0,16.0,0 days 00:00:56.130000,2.0,0 days 00:00:56.136000,fp2,1011.0,0,1,1,0,2020,conventional,0 days 00:00:54.523000,0 days 00:00:54.377000,
3933,GIO,2.0,MEDIUM,6,7.0,12.0,16.0,0 days 00:00:55.915000,2.0,0 days 00:00:56.078500,fp2,1049.0,0,1,1,0,2020,conventional,0 days 00:00:54.523000,0 days 00:00:54.377000,
3934,GIO,3.0,SOFT,5,13.0,17.0,16.0,0 days 00:00:55.533000,1.0,0 days 00:00:55.533000,fp2,1063.5,0,0,1,0,2020,conventional,0 days 00:00:54.523000,0 days 00:00:54.377000,
3935,GIO,4.0,SOFT,3,18.0,20.0,16.0,0 days 00:00:56.176000,1.0,0 days 00:00:56.176000,fp2,1076.0,0,0,1,0,2020,conventional,0 days 00:00:54.523000,0 days 00:00:54.377000,
3936,GIO,5.0,SOFT,17,21.0,37.0,16.0,0 days 00:00:58.251000,14.0,0 days 00:00:59.583000,fp2,1116.0,1,0,0,1,2020,conventional,0 days 00:00:54.523000,0 days 00:00:54.377000,
3937,GIO,6.0,MEDIUM,20,38.0,57.0,16.0,0 days 00:00:57.856000,17.0,0 days 00:00:58.777000,fp2,1129.0,1,0,0,1,2020,conventional,0 days 00:00:54.523000,0 days 00:00:54.377000,
3938,RIC,2.0,SOFT,6,2.0,7.0,16.0,0 days 00:00:55.845000,2.0,0 days 00:00:56.019500,fp1,1044.0,0,0,1,0,2020,conventional,0 days 00:00:54.388000,0 days 00:00:53.871000,0 days 00:00:53.957000
3939,RIC,3.0,SOFT,5,8.0,12.0,16.0,0 days 00:00:55.703000,2.0,0 days 00:00:55.915000,fp1,956.5,0,1,1,0,2020,conventional,0 days 00:00:54.388000,0 days 00:00:53.871000,0 days 00:00:53.957000
3940,RIC,4.0,SOFT,5,13.0,17.0,16.0,0 days 00:00:55.379000,2.0,0 days 00:00:55.530500,fp1,1011.5,0,0,1,0,2020,conventional,0 days 00:00:54.388000,0 days 00:00:53.871000,0 days 00:00:53.957000
3941,RIC,5.0,SOFT,22,18.0,39.0,16.0,0 days 00:00:58.508000,20.0,0 days 00:00:58.963000,fp1,1106.0,1,0,0,1,2020,conventional,0 days 00:00:54.388000,0 days 00:00:53.871000,0 days 00:00:53.957000
3942,NOR,6.0,SOFT,9,28.0,36.0,16.0,0 days 00:00:58.951000,6.0,0 days 00:00:59.332000,fp1,1077.5,0,0,0,1,2020,conventional,0 days 00:00:54.194000,0 days 00:00:54.693000,
3943,NOR,7.0,SOFT,11,37.0,47.0,16.0,0 days 00:00:59.145000,9.0,0 days 00:00:59.340000,fp1,1097.0,0,0,0,1,2020,conventional,0 days 00:00:54.194000,0 days 00:00:54.693000,
3944,VET,3.0,SOFT,6,15.0,20.0,16.0,0 days 00:00:55.281000,2.0,0 days 00:00:55.515000,fp1,981.5,0,1,1,0,2020,conventional,0 days 00:00:54.301000,0 days 00:00:54.175000,
3945,VET,4.0,SOFT,3,21.0,23.0,16.0,0 days 00:00:55.809000,1.0,0 days 00:00:55.809000,fp1,996.5,0,0,1,0,2020,conventional,0 days 00:00:54.301000,0 days 00:00:54.175000,
3946,VET,5.0,SOFT,4,24.0,27.0,16.0,0 days 00:00:55.707000,1.0,0 days 00:00:55.707000,fp1,999.0,0,0,1,0,2020,conventional,0 days 00:00:54.301000,0 days 00:00:54.175000,
3947,VET,7.0,SOFT,12,29.0,40.0,16.0,0 days 00:00:58.264000,9.0,0 days 00:00:59.295000,fp1,1099.0,1,0,0,1,2020,conventional,0 days 00:00:54.301000,0 days 00:00:54.175000,
3948,LAT,7.0,MEDIUM,16,33.0,48.0,16.0,0 days 00:00:58.955000,14.0,0 days 00:00:59.495500,fp1,1110.5,1,0,0,1,2020,conventional,0 days 00:00:54.796000,,
3949,RAI,4.0,SOFT,6,14.0,19.0,16.0,0 days 00:00:55.783000,2.0,0 days 00:00:56.051000,fp1,816.0,0,1,1,0,2020,conventional,0 days 00:00:54.963000,,
3950,GAS,3.0,SOFT,13,11.0,23.0,16.0,0 days 00:00:55.166000,4.0,0 days 00:00:55.394500,fp1,1056.0,0,1,1,0,2020,conventional,0 days 00:00:54.207000,0 days 00:00:53.941000,0 days 00:00:54.154000
3951,GAS,4.0,SOFT,14,24.0,37.0,16.0,0 days 00:00:58.364000,12.0,0 days 00:00:59.100500,fp1,1094.0,0,0,0,1,2020,conventional,0 days 00:00:54.207000,0 days 00:00:53.941000,0 days 00:00:54.154000
3952,PER,1.0,HARD,1,1.0,1.0,16.0,0 days 00:01:01.049000,1.0,0 days 00:01:01.049000,fp1,,0,0,0,1,2020,conventional,0 days 00:00:54.236000,0 days 00:00:53.787000,0 days 00:00:53.790000
3953,PER,3.0,SOFT,6,14.0,19.0,16.0,0 days 00:00:55.944000,1.0,0 days 00:00:55.944000,fp1,992.0,0,1,1,0,2020,conventional,0 days 00:00:54.236000,0 days 00:00:53.787000,0 days 00:00:53.790000
3954,PER,4.0,SOFT,3,20.0,22.0,16.0,0 days 00:00:55.716000,1.0,0 days 00:00:55.716000,fp1,1066.0,0,0,1,0,2020,conventional,0 days 00:00:54.236000,0 days 00:00:53.787000,0 days 00:00:53.790000
3955,PER,5.0,SOFT,11,23.0,33.0,16.0,0 days 00:00:58.268000,9.0,0 days 00:00:58.681000,fp1,1091.5,0,0,0,1,2020,conventional,0 days 00:00:54.236000,0 days 00:00:53.787000,0 days 00:00:53.790000
3956,LEC,3.0,SOFT,6,15.0,20.0,16.0,0 days 00:00:55.449000,1.0,0 days 00:00:55.449000,fp1,978.5,0,0,1,0,2020,conventional,0 days 00:00:54.249000,0 days 00:00:53.825000,0 days 00:00:53.613000
3957,LEC,4.0,SOFT,3,21.0,23.0,16.0,0 days 00:00:55.798000,1.0,0 days 00:00:55.798000,fp1,913.5,0,1,1,0,2020,conventional,0 days 00:00:54.249000,0 days 00:00:53.825000,0 days 00:00:53.613000
